cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene
1280	chrII	466127	466213	+	466161	7.139291	2.483231	466127	466176	50	NA
1284	chrII	474245	474344	+	474297	18.313832	2.793635	474283	474344	62	NA
1285	chrII	474536	474672	+	474536	10.553735	1.862423	474536	474669	134	NA
1287	chrII	476245	476245	+	476245	23.590696	23.590696	476245	476245	1	NA
1304	chrII	483665	483713	+	483680	1.55202	0.620808	483665	483713	49	NA
1305	chrII	483779	483846	+	483793	12.105754	2.172827	483782	483842	61	NA
1306	chrII	483893	483933	+	483897	9.622521	2.483231	483897	483912	16	NA
1311	chrII	488481	488519	+	488481	2.172828	1.241616	488481	488519	39	NA
1313	chrII	488732	488786	+	488756	18.624236	5.276866	488751	488784	34	NA
1314	chrII	488865	488923	+	488884	5.587271	2.793635	488865	488898	34	NA
1317	chrII	491163	491232	+	491208	4.656059	2.793635	491169	491208	40	NA
1318	chrII	493015	493225	+	493059	47.802207	7.13929	493055	493190	136	NA
1320	chrII	493383	493446	+	493425	4.035252	1.241616	493391	493446	56	NA
1321	chrII	494434	494453	+	494434	2.172828	0.931212	494434	494453	20	NA
1322	chrII	495562	495609	+	495579	15.830601	6.828886	495579	495594	16	NA
1333	chrII	501826	501906	+	501828	14.278582	2.172827	501828	501906	79	NA
1334	chrII	502008	502025	+	502025	1.241616	0.931212	502008	502025	18	NA
1335	chrII	502180	502219	+	502180	1.55202	0.620808	502180	502219	40	NA
1336	chrII	502298	502304	+	502304	1.55202	1.241616	502298	502304	7	NA
1378	chrII	532457	532536	+	532505	94.362789	27.005139	532468	532520	53	NA
1408	chrII	541242	541266	+	541247	1.862424	0.620808	541242	541266	25	NA
1428	chrII	553398	553432	+	553411	4.345656	1.55202	553398	553422	25	NA
1430	chrII	553715	553754	+	553715	1.55202	0.310404	553715	553754	40	NA
1431	chrII	553826	553846	+	553843	1.241616	0.620808	553826	553846	21	NA
1434	chrII	554617	554680	+	554660	3.724848	0.931212	554629	554676	48	NA
1435	chrII	554745	554780	+	554768	1.241616	0.620808	554745	554780	36	NA
1436	chrII	554912	555155	+	555000	23.901105	4.035251	554929	555103	175	NA
1437	chrII	555190	555301	+	555263	57.11432	14.278579	555245	555270	26	NA
1438	chrII	555331	555611	+	555479	107.089353	21.417869	555443	555544	102	NA
1465	chrII	563200	563216	+	563201	1.862424	1.241616	563200	563216	17	NA
1491	chrII	576327	576393	+	576368	27.936354	9.001713	576327	576375	49	NA
1495	chrII	581089	581147	+	581128	2.172828	1.241616	581089	581147	59	NA
1510	chrII	586545	586632	+	586553	13.347369	5.897674	586553	586625	73	NA
1517	chrII	593263	593282	+	593266	3.724847	2.483231	593266	593277	12	NA
1549	chrII	611666	611726	+	611699	1.55202	0.620808	611666	611726	61	NA
1550	chrII	614203	614245	+	614220	6.828887	3.414443	614217	614228	12	NA
1551	chrII	614383	614580	+	614448	61.149573	9.312117	614391	614546	156	NA
1552	chrII	614629	614667	+	614657	3.414444	0.931212	614629	614666	38	NA
1553	chrII	615071	615088	+	615077	1.241616	0.620808	615071	615088	18	NA
1554	chrII	615317	615453	+	615406	72.013708	25.45312	615397	615451	55	NA
1556	chrII	615512	615839	+	615763	40.04211	5.897674	615578	615763	186	NA
1578	chrII	624288	624323	+	624288	1.55202	0.310404	624288	624323	36	NA
1616	chrII	641359	641416	+	641359	2.483232	0.620808	641359	641416	58	NA
1618	chrII	641551	641554	+	641551	1.55202	0.931212	641551	641554	4	NA
1620	chrII	643206	643303	+	643224	10.243332	1.241616	643220	643291	72	NA
1621	chrII	644098	644134	+	644134	3.414443	1.862423	644107	644134	28	NA
1622	chrII	644289	644390	+	644362	6.20808	1.55202	644306	644374	69	NA
1626	chrII	645990	646042	+	646010	5.897676	1.241616	646009	646042	34	NA
1662	chrII	661995	662019	+	661995	4.656059	1.862423	661995	662019	25	NA
1664	chrII	665177	665177	+	665177	1.241616	1.241616	665177	665177	1	NA
1667	chrII	666650	666718	+	666670	6.20808	1.241616	666654	666718	65	NA
1689	chrII	682202	682217	+	682202	1.55202	0.310404	682202	682217	16	NA
1726	chrII	697803	697974	+	697842	94.362791	18.934638	697842	697921	80	NA
1727	chrII	698006	698049	+	698032	13.657773	6.518482	698025	698046	22	NA
1728	chrII	698308	698350	+	698333	4.966464	1.55202	698320	698333	14	NA
1729	chrII	698783	698807	+	698792	1.55202	0.620808	698783	698807	25	NA
1731	chrII	699243	699298	+	699271	3.414444	1.241616	699266	699291	26	NA
1733	chrII	699938	699950	+	699938	3.414444	1.241616	699938	699950	13	NA
1734	chrII	701069	701083	+	701069	1.241616	0.931212	701069	701083	15	NA
1735	chrII	703463	703523	+	703475	6.828887	1.862423	703463	703507	45	NA
1756	chrII	714667	714772	+	714667	5.587272	1.55202	714667	714761	95	NA
1758	chrII	716801	716832	+	716811	1.55202	0.620808	716801	716832	32	NA
1781	chrII	726573	726666	+	726573	5.587272	1.55202	726573	726666	94	NA
1782	chrII	726856	726862	+	726856	1.241616	0.620808	726856	726862	7	NA
1783	chrII	727167	727167	+	727167	2.483231	2.483231	727167	727167	1	NA
1796	chrII	734775	734842	+	734820	4.345656	1.55202	734802	734842	41	NA
1797	chrII	735224	735261	+	735224	1.241616	0.620808	735224	735261	38	NA
1817	chrII	741770	741916	+	741832	39.110895	6.208078	741828	741893	66	NA
1819	chrII	742530	742578	+	742578	2.172828	0.620808	742530	742578	49	NA
1820	chrII	742715	742797	+	742779	7.139291	2.172827	742740	742779	40	NA
1829	chrII	747582	747669	+	747585	4.65606	0.931212	747585	747658	74	NA
1846	chrII	764411	764411	+	764411	1.241616	1.241616	764411	764411	1	NA
1851	chrII	768949	768987	+	768956	18.313833	10.553733	768954	768986	33	NA
1879	chrII	778499	778499	+	778499	3.414443	3.414443	778499	778499	1	NA
1899	chrII	784004	784114	+	784043	3.414444	0.620808	784012	784094	83	NA
1900	chrII	784412	784452	+	784452	4.345656	1.241616	784412	784452	41	NA
1901	chrII	784751	784855	+	784804	6.828887	1.862423	784773	784837	65	NA
1902	chrII	785039	785063	+	785063	3.10404	0.931212	785042	785063	22	NA
1903	chrII	785397	785530	+	785518	22.96989	3.724847	785419	785518	100	NA
1941	chrII	799142	799495	+	799418	59.287153	21.728273	799237	799450	214	NA
1955	chrII	807219	807247	+	807219	4.966463	4.656059	807219	807219	1	NA
1956	chrII	807340	807379	+	807363	79.463401	47.491797	807363	807379	17	NA
1959	chrII	809936	809936	+	809936	1.241616	1.241616	809936	809936	1	NA
1960	chrI	5475	5496	-	5494	2.793636	0.931212	5475	5496	22	NA
1961	chrI	6316	6360	-	6331	49.043819	27.315543	6331	6355	25	NA
1966	chrI	16584	16607	-	16596	2.483232	1.55202	16584	16607	24	NA
1967	chrI	16723	16766	-	16723	2.793636	0.931212	16723	16766	44	NA
1968	chrI	16817	16862	-	16831	4.656059	1.862423	16824	16859	36	NA
1970	chrI	19035	19127	-	19063	4.65606	0.620808	19058	19127	70	NA
1973	chrI	20573	20592	-	20592	2.172828	1.55202	20573	20592	20	NA
1974	chrI	20743	20802	-	20780	5.587272	1.55202	20743	20802	60	NA
1983	chrI	29118	29140	-	29123	3.724847	1.862423	29123	29140	18	NA
1984	chrI	29733	29788	-	29776	21.728275	8.691309	29745	29776	32	NA
1985	chrI	30644	30709	-	30677	9.312119	3.724847	30644	30697	54	NA
1987	chrI	31025	31025	-	31025	1.55202	1.55202	31025	31025	1	NA
1988	chrI	31422	31540	-	31457	91.258753	22.659485	31442	31508	67	NA
1990	chrI	32004	32012	-	32009	1.862424	0.620808	32004	32012	9	NA
1991	chrI	32297	32399	-	32376	14.899389	3.104039	32343	32391	49	NA
1992	chrI	32511	32577	-	32549	22.659487	7.13929	32541	32562	22	NA
1993	chrI	32642	32769	-	32728	45.318973	5.897674	32684	32757	74	NA
1994	chrI	32871	32984	-	32951	21.417873	6.208078	32907	32982	76	NA
1995	chrI	33364	33373	-	33364	1.55202	0.931212	33364	33373	10	NA
1996	chrI	33585	33625	-	33596	1.241616	0.620808	33585	33625	41	NA
1997	chrI	33772	33823	-	33772	2.483232	0.620808	33772	33823	52	NA
1999	chrI	34047	34109	-	34089	6.518483	2.172827	34070	34095	26	NA
2000	chrI	34233	34524	-	34358	120.747124	23.590696	34291	34411	121	NA
2001	chrI	34719	34834	-	34738	16.451409	8.070501	34736	34790	55	NA
2004	chrI	36331	36370	-	36369	2.172828	0.620808	36331	36370	40	NA
2007	chrI	42701	42739	-	42701	5.897675	2.793635	42701	42737	37	NA
2020	chrI	48168	48188	-	48188	1.55202	0.931212	48168	48188	21	NA
2021	chrI	48459	48459	-	48459	1.241616	1.241616	48459	48459	1	NA
2057	chrI	63000	63014	-	63000	2.793635	1.862423	63000	63014	15	NA
2058	chrI	65552	65588	-	65576	1.55202	0.620808	65552	65588	37	NA
2070	chrI	68536	68601	-	68601	6.828888	1.55202	68538	68601	64	NA
2080	chrI	70753	70857	-	70788	6.828888	1.55202	70768	70857	90	NA
2081	chrI	70978	70997	-	70997	2.172828	0.931212	70978	70997	20	NA
2082	chrI	71439	71522	-	71509	28.246758	12.416156	71478	71519	42	NA
2139	chrI	94441	94462	-	94462	1.862424	1.241616	94441	94462	22	NA
2140	chrI	94806	94844	-	94806	2.172828	0.620808	94806	94844	39	NA
2236	chrI	130442	130509	-	130460	7.139291	3.414443	130442	130482	41	NA
2237	chrI	131932	132028	-	131935	4.65606	0.931212	131935	132008	74	NA
2248	chrI	136647	136745	-	136707	9.932927	3.414443	136669	136730	62	NA
2249	chrI	137237	137317	-	137294	2.172828	0.620808	137237	137317	81	NA
2250	chrI	137399	137488	-	137473	8.691311	2.793635	137431	137488	58	NA
2251	chrI	137521	137605	-	137605	4.65606	0.931212	137522	137605	84	NA
2268	chrI	143317	143344	-	143317	3.414444	0.931212	143317	143338	22	NA
2269	chrI	143733	143822	-	143770	13.968177	6.208078	143748	143770	23	NA
2296	chrI	160129	160157	-	160157	1.862424	1.241616	160129	160157	29	NA
2334	chrI	180752	180863	-	180824	11.79535	4.656059	180803	180824	22	NA
2335	chrI	180934	181060	-	180996	21.107467	3.104039	180939	181013	75	NA
2338	chrI	182357	182417	-	182385	4.035252	1.55202	182385	182417	33	NA
2339	chrI	183121	183408	-	183387	24.21151	2.793635	183155	183388	234	NA
2341	chrI	183817	183826	-	183826	1.862424	0.931212	183817	183826	10	NA
2342	chrI	184198	184198	-	184198	1.862423	1.862423	184198	184198	1	NA
2343	chrI	184369	184429	-	184394	2.172828	0.931212	184369	184429	61	NA
2344	chrI	184661	184681	-	184680	5.587271	2.793635	184668	184680	13	NA
2346	chrI	187853	187893	-	187893	1.862424	0.931212	187853	187893	41	NA
2347	chrI	188054	188088	-	188088	1.241616	0.620808	188054	188088	35	NA
2348	chrI	188916	189092	-	189003	56.493515	13.036964	188959	189077	119	NA
2349	chrI	190013	190074	-	190041	71.392902	16.141003	190027	190066	40	NA
2350	chrI	191077	191162	-	191152	4.035252	1.241616	191088	191155	68	NA
2351	chrI	191248	191404	-	191401	14.278583	3.104039	191278	191401	124	NA
2353	chrI	191857	191932	-	191892	13.036966	3.104039	191858	191915	58	NA
2354	chrI	198023	198054	-	198041	6.518484	1.55202	198023	198050	28	NA
2355	chrI	198185	198392	-	198217	81.946634	16.141003	198209	198340	132	NA
2356	chrI	198696	198738	-	198738	7.449695	2.483231	198711	198738	28	NA
2357	chrI	198968	199038	-	198999	21.107466	8.380905	198982	199014	33	NA
2358	chrI	200392	200483	-	200419	46.870992	18.934638	200413	200431	19	NA
2359	chrI	200745	200750	-	200750	1.55202	0.931212	200745	200750	6	NA
2362	chrI	205053	205057	-	205056	1.862424	0.931212	205053	205057	5	NA
2365	chrI	206258	206282	-	206258	1.55202	0.620808	206258	206282	25	NA
2367	chrI	206531	206532	-	206531	1.241616	0.931212	206531	206532	2	NA
2368	chrI	206888	206935	-	206909	3.414444	0.931212	206893	206913	21	NA
