cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene	inCoding
567	chrII	117454	117536	+	117480	17.693024	10.243329	117470	117480	11	YBL054W	NA
583	chrII	125014	125094	+	125048	1576.851817	434.255057	125038	125062	25	YBL050W	NA
589	chrII	126228	126264	+	126228	1.241616	0.310404	126228	126264	37	YBL049W	NA
590	chrII	126343	126349	+	126346	1.241616	0.620808	126343	126349	7	YBL049W	NA
591	chrII	126586	126637	+	126606	91.258748	46.560585	126606	126623	18	YBL049W	NA
595	chrII	132390	132499	+	132424	209.212234	42.835738	132399	132432	34	YBL046W	YBL059W
601	chrII	136421	136482	+	136424	6.518483	2.793635	136421	136448	28	YBL043W	NA
602	chrII	136513	136597	+	136527	36.938066	9.312117	136527	136560	34	YBL043W	NA
608	chrII	140923	141247	+	141196	3775.132255	830.02003	141195	141237	43	YBL041W	NA
613	chrII	142991	143108	+	143091	216.041118	63.943204	143085	143108	24	YBL039W-B	NA
614	chrII	146085	146136	+	146136	588.836201	230.940502	146113	146136	24	YBL038W	NA
616	chrII	147034	147204	+	147111	366.897416	100.570864	147100	147162	63	YBL037W	NA
627	chrII	160028	160147	+	160094	587.594588	205.176978	160092	160124	33	YBL032W	NA
634	chrII	161593	161724	+	161677	82.257039	26.694735	161661	161708	48	YBL031W	NA
642	chrII	165621	165682	+	165642	14.588985	3.414443	165621	165662	42	YBL029W	NA
643	chrII	166064	166136	+	166098	105.847733	20.176254	166079	166110	32	YBL029W	NA
649	chrII	168131	168219	+	168160	6.20808	1.241616	168143	168200	58	YBL027W	NA
650	chrII	168295	168415	+	168392	27210.316339	15375.857219	168392	168404	13	YBL027W	NA
653	chrII	169652	169721	+	169682	6.518483	3.724847	169652	169693	42	YBL026W	NA
655	chrII	170081	170098	+	170081	1.862424	0.931212	170081	170098	18	YBL026W	NA
656	chrII	170188	170293	+	170234	12.416158	3.104039	170206	170285	80	YBL026W	NA
657	chrII	170326	170414	+	170348	22.349083	5.58727	170334	170383	50	YBL026W	NA
658	chrII	170470	170623	+	170552	1568.160509	304.506227	170547	170600	54	YBL026W	NA
660	chrII	171355	171495	+	171418	167.928516	36.938064	171399	171483	85	YBL025W	NA
664	chrII	171906	172019	+	171961	7.139291	1.862423	171935	171994	60	YBL024W	NA
665	chrII	172418	172530	+	172511	1242.236415	430.840614	172504	172525	22	YBL024W	NA
675	chrII	181578	181662	+	181602	16.451409	4.035251	181579	181645	67	YBL020W	NA
677	chrII	182247	182357	+	182319	429.599004	130.369638	182319	182346	28	YBL020W	NA
683	chrII	184231	184433	+	184321	88.465119	20.176254	184293	184379	87	YBL019W	NA
689	chrII	191912	192101	+	191979	36.627665	7.760098	191912	192043	132	YBL016W	NA
690	chrII	192341	192456	+	192423	348.273181	53.389471	192365	192429	65	YBL016W	NA
696	chrII	193653	193690	+	193677	1.862424	0.620808	193653	193690	38	YBL015W	NA
697	chrII	193915	194053	+	194045	380.865591	146.510641	194019	194045	27	YBL015W	NA
713	chrII	201957	202100	+	202045	31.6612	6.518482	201990	202058	69	YBL013W	NA
717	chrII	203421	203510	+	203437	225.663641	38.17968	203436	203471	36	YBL011W	NA
730	chrII	207100	207222	+	207160	36.317261	10.243329	207141	207174	34	YBL009W	NA
734	chrII	209528	209630	+	209576	99.329252	32.902813	209566	209614	49	YBL008W	YBL100W-B
742	chrII	216509	216562	+	216509	1.241616	0.310404	216509	216562	54	YBL006W-A	NA
745	chrII	217329	217433	+	217408	222.249196	71.392897	217388	217421	34	YBL005W	NA
756	chrII	220693	220706	+	220702	1.241616	0.620808	220693	220706	14	YBL005W-A	NA
757	chrII	220862	220996	+	220948	125.40318	23.9011	220888	220977	90	YBL005W-A	NA
758	chrII	221275	221365	+	221302	53.389478	12.105752	221293	221362	70	YBL005W-A	NA
766	chrII	227461	227586	+	227529	1180.46604	160.789221	227511	227572	62	YBL004W	NA
803	chrII	236024	236059	+	236059	9.622522	2.483231	236037	236059	23	YBL002W	NA
804	chrII	236242	236480	+	236469	3219.509269	1052.579627	236408	236472	65	YBL002W	NA
814	chrII	242087	242113	+	242113	1.241616	0.620808	242087	242113	27	YBR003W	NA
816	chrII	242768	242808	+	242777	584.180145	154.581143	242775	242803	29	YBR003W	NA
822	chrII	245350	245365	+	245355	1.241616	0.620808	245350	245365	16	YBR005W	NA
823	chrII	245546	245589	+	245589	2.172828	1.241616	245546	245589	44	YBR005W	NA
824	chrII	245813	245960	+	245883	717.033019	99.950056	245842	245901	60	YBR005W	NA
829	chrII	246759	246970	+	246970	1195.675829	437.359096	246879	246970	92	YBR006W	NA
843	chrII	255857	255871	+	255868	1.55202	0.620808	255857	255871	15	YBR010W	NA
844	chrII	256102	256169	+	256102	7.449694	5.276866	256102	256161	60	YBR010W	NA
845	chrII	256209	256310	+	256303	5721.675104	4313.0622	256303	256307	5	YBR010W	NA
853	chrII	259152	259193	+	259176	2.793636	0.931212	259152	259193	42	YBR012W-A	NA
858	chrII	269757	269788	+	269759	2.483232	0.620808	269757	269788	32	YBR016W	NA
860	chrII	270167	270283	+	270217	2975.221393	627.015879	270198	270236	39	YBR016W	NA
868	chrII	281307	281452	+	281307	54.320684	11.795348	281307	281392	86	YBR021W	NA
876	chrII	283601	283743	+	283676	440.152736	124.782368	283661	283724	64	YBR022W	NA
883	chrII	289101	289145	+	289121	4.966463	2.793635	289106	289128	23	YBR024W	NA
884	chrII	289300	289591	+	289336	293.642099	63.943204	289328	289364	37	YBR024W	NA
897	chrII	297964	298116	+	298062	21.417872	3.414443	297998	298077	80	YBR030W	NA
898	chrII	298200	298264	+	298223	106.158138	35.386045	298213	298246	34	YBR030W	NA
907	chrII	300071	300160	+	300150	5018.299865	3362.295052	300142	300150	9	YBR031W	NA
911	chrII	301811	301831	+	301811	3.104039	1.862423	301811	301831	21	YBR033W	YBR032W
912	chrII	301897	301932	+	301921	4.035251	1.862423	301899	301921	23	YBR033W	NA
929	chrII	311629	311632	+	311632	1.862424	1.241616	311629	311632	4	YBR038W	NA
930	chrII	311723	311903	+	311847	641.294462	168.549318	311822	311861	40	YBR038W	NA
940	chrII	315477	315549	+	315539	1646.382293	436.427884	315484	315539	56	YBR039W	NA
945	chrII	316598	316614	+	316598	1.55202	0.620808	316598	316614	17	YBR040W	NA
947	chrII	316925	316982	+	316925	2.793636	0.620808	316925	316982	58	YBR040W	NA
951	chrII	318157	318253	+	318213	481.126046	179.103051	318204	318237	34	YBR041W	NA
978	chrII	331297	331297	+	331297	1.55202	1.55202	331297	331297	1	YBR047W	NA
979	chrII	331420	331423	+	331420	1.55202	0.931212	331420	331423	4	YBR047W	NA
980	chrII	331620	332118	+	331780	367.518231	71.392897	331772	331965	194	YBR047W	NA
982	chrII	332644	332821	+	332811	24315.489563	8844.959149	332802	332820	19	YBR048W	NA
992	chrII	337187	337249	+	337198	23.280294	13.968176	337193	337210	18	YBR051W	NA
994	chrII	337593	337602	+	337602	1.241616	0.620808	337593	337602	10	YBR051W	NA
1009	chrII	342503	342802	+	342787	8245.258821	3833.488173	342775	342791	17	YBR054W	NA
1010	chrII	342915	343392	+	342945	84.74028	8.380905	342945	343284	340	YBR054W	NA
1017	chrII	346925	346943	+	346927	3.414443	2.483231	346927	346934	8	YBR056W	NA
1018	chrII	347080	347101	+	347080	2.483232	0.931212	347080	347101	22	YBR056W	NA
1019	chrII	347754	348163	+	347809	884.340723	410.353957	347808	347874	67	YBR056W	NA
1027	chrII	350816	350819	+	350816	1.241616	0.931212	350816	350819	4	YBR056W-A	NA
1028	chrII	351109	351257	+	351228	1048.23398	330.580154	351211	351246	36	YBR056W-A	NA
1046	chrII	366750	366800	+	366800	12.726563	2.172827	366750	366800	51	YBR064W	NA
1072	chrII	380186	380383	+	380339	698.719188	241.494235	380328	380358	31	YBR071W	NA
1077	chrII	381342	381376	+	381342	3.414444	1.241616	381342	381356	15	YBR072W	NA
1078	chrII	381527	381546	+	381532	8.380905	5.276866	381527	381546	20	YBR072W	NA
1080	chrII	381639	381968	+	381956	3077.344283	2295.126441	381953	381959	7	YBR072W	NA
1094	chrII	386224	386286	+	386281	1145.079995	652.779403	386260	386283	24	YBR074W	NA
1111	chrII	390110	390125	+	390125	2.172828	1.55202	390110	390125	16	YBR076W	NA
1118	chrII	392127	392174	+	392138	5.587271	4.345655	392138	392160	23	YBR078W	NA
1119	chrII	392805	392962	+	392962	5124.768408	1822.070897	392947	392962	16	YBR078W	NA
1137	chrII	408373	408394	+	408394	1.55202	1.241616	408373	408394	22	YBR083W	NA
1138	chrII	408859	408990	+	408894	14.89939	2.172827	408868	408956	89	YBR083W	NA
1140	chrII	409076	409196	+	409122	91.25875	21.728273	409093	409169	77	YBR083W	NA
1146	chrII	410936	411040	+	411040	1821.13969	956.354418	410971	411040	70	YBR084W	NA
1157	chrII	415827	415951	+	415908	331.200969	61.149568	415879	415921	43	YBR085W	NA
1173	chrII	423302	423411	+	423353	16.761813	3.104039	423311	423384	74	YBR087W	NA
1174	chrII	423568	423586	+	423586	2.172827	1.862423	423568	423586	19	YBR087W	NA
1175	chrII	423727	423773	+	423754	374.347107	184.690321	423735	423765	31	YBR087W	NA
1189	chrII	431497	431511	+	431497	2.172828	0.620808	431497	431511	15	YBR094W	NA
1190	chrII	431918	432012	+	431970	250.49595	56.803914	431967	431985	19	YBR094W	NA
1203	chrII	435899	435999	+	435939	931.522111	376.519932	435935	435972	38	YBR096W	NA
1207	chrII	436855	436941	+	436920	344.237931	88.775516	436891	436920	30	YBR097W	NA
1232	chrII	447481	447644	+	447592	129.438431	30.109178	447534	447592	59	YBR103W	NA
1238	chrII	449537	449620	+	449607	120.436715	36.938064	449575	449607	33	YBR104W	NA
1243	chrII	452146	452228	+	452175	8.070503	3.104039	452158	452215	58	YBR106W	NA
1245	chrII	452520	452646	+	452622	1921.710552	503.164723	452583	452630	48	YBR106W	NA
1250	chrII	454318	454386	+	454342	9.001715	4.656059	454327	454378	52	YBR108W	NA
1251	chrII	454728	454827	+	454782	275.328265	46.560585	454774	454815	42	YBR108W	NA
1266	chrII	458132	458137	+	458132	1.241616	0.620808	458132	458137	6	YBR109W-A	NA
1267	chrII	458601	458727	+	458692	249.56474	50.90624	458657	458712	56	YBR110W	YBR109W-A
1268	chrII	458759	458865	+	458824	676.680508	287.123608	458821	458848	28	YBR110W	YBR109W-A
1274	chrII	461811	461909	+	461841	6.20808	1.241616	461831	461898	68	YBR111W-A	NA
1276	chrII	461970	462312	+	462102	1346.221732	198.658496	462098	462187	90	YBR111W-A	NA
1281	chrII	466699	466722	+	466709	6.518482	2.793635	466706	466719	14	YBR114W	NA
1282	chrII	467114	467658	+	467160	297.056546	42.525334	467155	467374	220	YBR114W	NA
1288	chrII	476742	476776	+	476742	2.172828	0.620808	476742	476776	35	YBR118W	NA
1289	chrII	476829	477005	+	476875	45.318972	8.380905	476870	476960	91	YBR118W	NA
1290	chrII	477140	477175	+	477151	3.414444	0.931212	477151	477169	19	YBR118W	NA
1291	chrII	477403	477489	+	477419	6.828887	2.793635	477409	477489	81	YBR118W	NA
1292	chrII	477528	477649	+	477649	68527.55875	45271.167296	477636	477649	14	YBR118W	NA
1297	chrII	478997	479020	+	479006	2.172828	0.931212	478997	479020	24	YBR119W	YBR118W
1298	chrII	479245	479338	+	479301	144.958626	39.110891	479282	479320	39	YBR119W	NA
1308	chrII	486024	486041	+	486026	2.172828	1.241616	486024	486041	18	YBR124W	NA
1316	chrII	490803	490836	+	490827	3147.805958	1813.689992	490822	490831	10	YBR126W-A	NA
1323	chrII	497103	497217	+	497133	103.674908	22.349081	497119	497208	90	YBR131W	NA
1337	chrII	504575	504584	+	504575	3.724847	2.483231	504575	504582	8	YBR135W	YBR134W
1338	chrII	504732	504827	+	504760	485.782108	160.478817	504750	504797	48	YBR135W	NA
1340	chrII	505573	505668	+	505623	206.108196	36.938064	505617	505668	52	YBR136W	NA
1354	chrII	512650	512796	+	512705	5.587272	1.241616	512652	512773	122	YBR137W	YBR136W
1355	chrII	512899	512991	+	512982	983.359561	297.366937	512943	512991	49	YBR137W	NA
1358	chrII	515602	515666	+	515656	1629.620481	623.291033	515652	515659	8	YBR139W	NA
1367	chrII	528166	528293	+	528270	518.68492	271.293009	528241	528270	30	YBR142W	NA
1379	chrII	533149	533193	+	533149	1.241616	0.620808	533149	533193	45	YBR145W	NA
1380	chrII	533453	533563	+	533499	4.966464	1.241616	533475	533550	76	YBR145W	NA
1381	chrII	533644	533721	+	533706	608.702051	360.999736	533706	533721	16	YBR145W	NA
1386	chrII	535162	535257	+	535188	536.998754	169.790934	535182	535232	51	YBR146W	NA
1391	chrII	536416	536583	+	536550	177.551039	42.835738	536435	536550	116	YBR147W	NA
1395	chrII	537693	537740	+	537709	9.001715	3.104039	537693	537721	29	YBR148W	NA
1405	chrII	539860	540642	+	539943	2469.883866	370.932661	539922	540023	102	YBR149W	NA
1409	chrII	544799	545016	+	544882	1346.842534	285.881993	544876	544955	80	YBR151W	NA
1414	chrII	546113	546154	+	546154	1.55202	0.931212	546113	546154	42	YBR152W	NA
1418	chrII	546987	547049	+	547021	2.793636	0.620808	546987	547049	63	YBR153W	YBR152W
1419	chrII	547367	547421	+	547396	76.980168	19.86585	547386	547413	28	YBR153W	NA
1422	chrII	549231	549256	+	549235	2.793636	1.55202	549231	549256	26	YBR155W	NA
1423	chrII	549667	549756	+	549734	400.110632	79.152995	549674	549751	78	YBR155W	NA
1439	chrII	555801	555888	+	555804	3.724848	0.620808	555804	555872	69	YBR158W	NA
1440	chrII	555942	555947	+	555947	4.345655	2.793635	555944	555947	4	YBR158W	NA
1441	chrII	555983	556311	+	556286	850.506697	573.316005	556225	556293	69	YBR158W	NA
1450	chrII	558592	558673	+	558644	1761.231733	663.333136	558630	558665	36	YBR159W	NA
1454	chrII	559892	560067	+	560000	584.490553	99.329248	559947	560028	82	YBR160W	NA
1458	chrII	561249	561911	+	561416	464.053848	34.144429	561416	561631	216	YBR161W	NA
1467	chrII	564771	564864	+	564854	27.936353	15.830599	564843	564859	17	YBR162W-A	NA
1468	chrII	564970	565019	+	564985	156.133165	47.491797	564985	565016	32	YBR162W-A	NA
1469	chrII	565165	565230	+	565214	7106.697307	1773.647888	565192	565220	29	YBR162W-A	NA
1470	chrII	565596	565894	+	565621	356.654093	62.701588	565610	565747	138	YBR163W	NA
1477	chrII	568708	568805	+	568765	422.770119	163.89326	568760	568768	9	YBR165W	NA
1481	chrII	571376	571447	+	571410	15.830601	3.104039	571381	571437	57	YBR168W	NA
1483	chrII	571780	571801	+	571799	1.55202	0.620808	571780	571801	22	YBR168W	NA
1484	chrII	571993	572180	+	572055	110.193388	14.588983	572033	572091	59	YBR168W	NA
1485	chrII	572214	572284	+	572244	106.778946	43.76695	572244	572266	23	YBR168W	NA
1493	chrII	578286	578352	+	578338	892.721623	351.066812	578321	578340	20	YBR171W	NA
1496	chrII	581663	581756	+	581756	17.693025	4.656059	581683	581756	74	YBR175W	NA
1497	chrII	582322	582605	+	582369	113.297432	16.451407	582369	582460	92	YBR175W	NA
1504	chrII	583586	583699	+	583602	85.050673	18.31383	583602	583699	98	YBR176W	NA
1509	chrII	585926	586005	+	585957	4.65606	1.55202	585926	585999	74	YBR178W	NA
1511	chrII	589385	589423	+	589397	5.276868	1.55202	589394	589411	18	YBR180W	NA
1512	chrII	589644	589673	+	589644	1.241616	0.310404	589644	589673	30	YBR180W	NA
1519	chrII	595232	595385	+	595252	8.070504	0.620808	595248	595375	128	YBR183W	NA
1520	chrII	595844	595924	+	595906	10.24333	2.793635	595877	595916	40	YBR183W	NA
1521	chrII	595972	596398	+	596060	1076.480739	244.598274	596018	596084	67	YBR183W	NA
1524	chrII	596866	596868	+	596866	2.172828	0.931212	596866	596868	3	YBR184W	YBR183W
1526	chrII	597196	597448	+	597358	49.66463	9.001713	597264	597378	115	YBR184W	NA
1528	chrII	600139	600184	+	600139	9.001715	2.172827	600139	600173	35	YBR186W	NA
1529	chrII	600457	600568	+	600547	26.384335	4.966462	600461	600547	87	YBR186W	NA
1530	chrII	602477	602861	+	602505	610.254082	123.540752	602500	602566	67	YBR187W	NA
1532	chrII	604391	604500	+	604485	12304.100227	3089.139619	604466	604486	21	YBR189W	NA
1535	chrII	605621	605626	+	605622	2.172828	1.55202	605621	605626	6	YBR190W	NA
1536	chrII	606170	606263	+	606248	19651.670954	14051.984583	606234	606248	15	YBR191W	YBR190W
1538	chrII	606671	606842	+	606808	263.843329	37.869276	606692	606822	131	YBR191W-A	YBR191W
1539	chrII	607416	607547	+	607511	157.374785	32.59241	607452	607531	80	YBR192W	NA
1545	chrII	609344	609421	+	609385	5.276868	1.55202	609370	609421	52	YBR194W	NA
1546	chrII	609728	609739	+	609734	1.55202	0.620808	609728	609739	12	YBR194W	NA
1547	chrII	609872	609994	+	609969	200.520923	31.661198	609897	609975	79	YBR194W	NA
1557	chrII	618790	618860	+	618816	2198.901238	496.646241	618816	618835	20	YBR199W	NA
1565	chrII	620749	620841	+	620817	583.248934	285.571589	620809	620817	9	YBR200W	NA
1574	chrII	623392	623491	+	623440	130.369642	24.211504	623433	623454	22	YBR201W	NA
1579	chrII	624858	624872	+	624872	2.793636	1.55202	624858	624872	15	YBR202W	NA
1580	chrII	625254	625338	+	625275	5.276868	0.931212	625259	625336	78	YBR202W	NA
1581	chrII	625431	625504	+	625492	3.724848	1.241616	625431	625492	62	YBR202W	NA
