cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene	inCoding
65	chrI	40761	40816	+	40816	1.364202	0.389772	40761	40816	56	NA	YAL019W-A
67	chrI	41061	41608	+	41250	42.680046	3.313064	41118	41483	366	NA	YAL019W-A
70	chrI	42273	42489	+	42305	137.394697	50.865275	42297	42411	115	NA	YAL027W
71	chrI	42526	42619	+	42569	4.092608	1.559089	42565	42618	54	NA	YAL027W
72	chrI	43103	43303	+	43202	5.456809	0.974431	43130	43292	163	NA	NA
73	chrI	43367	43635	+	43438	34.884608	5.846583	43438	43574	137	NA	NA
74	chrI	43694	43836	+	43782	17.149975	4.677267	43694	43787	94	NA	NA
79	chrI	46326	47567	+	47089	124.727077	5.846583	46470	47384	915	NA	YAL028W
82	chrI	47607	47671	+	47644	52.424362	29.03803	47626	47661	36	NA	YAL028W
83	chrI	47709	47961	+	47717	47.747088	15.590889	47717	47892	176	NA	YAL028W
84	chrI	47991	48118	+	48056	70.938542	16.955092	48038	48086	49	NA	YAL028W
86	chrI	48639	49142	+	48795	118.685628	18.124408	48653	48977	325	NA	YAL030W
87	chrI	49484	49522	+	49502	2.728405	0.974431	49485	49521	37	NA	YAL030W
88	chrI	49713	49754	+	49754	1.94886	0.584658	49715	49754	40	NA	YAL030W
89	chrI	49976	50006	+	50005	4.872151	1.948861	49977	50005	29	NA	YAL030W
91	chrI	50724	50724	+	50724	2.338633	2.338633	50724	50724	1	NA	YAL030W
92	chrI	50943	50961	+	50943	1.169317	0.974431	50943	50961	19	NA	YAL030W
93	chrI	51106	51150	+	51106	1.169316	0.389772	51106	51150	45	NA	YAL030W
95	chrI	52771	52853	+	52851	3.897721	1.559089	52808	52851	44	NA	NA
97	chrI	54892	54944	+	54892	1.364202	0.194886	54892	54944	53	NA	YAL031W-A
104	chrI	57704	57724	+	57724	4.092607	1.948861	57716	57724	9	NA	YAL033W
105	chrI	58555	58607	+	58598	2.143747	0.974431	58579	58598	20	NA	NA
107	chrI	61402	61972	+	61972	489.16412	82.826597	61554	61972	419	NA	YAL034W-A
108	chrI	62075	62369	+	62151	45.798229	7.990331	62139	62294	156	NA	YAL034W-A
110	chrI	62882	63281	+	63005	53.2039	8.380103	62936	63122	187	NA	YAL035W
111	chrI	63465	63595	+	63487	7.600556	1.948861	63486	63553	68	NA	YAL035W
113	chrI	63997	64125	+	64078	10.523847	2.338633	64003	64100	98	NA	YAL035W
114	chrI	64187	64363	+	64266	22.022127	5.067039	64265	64361	97	NA	YAL035W
115	chrI	64478	64616	+	64577	12.277821	2.923292	64494	64607	114	NA	YAL035W
116	chrI	64651	64799	+	64683	14.421568	3.313064	64663	64765	103	NA	YAL035W
117	chrI	65017	65073	+	65021	2.338633	0.974431	65017	65061	45	NA	YAL035W
120	chrI	68153	68258	+	68195	2.92329	0.584658	68153	68239	87	NA	NA
121	chrI	68680	68764	+	68703	29.622688	8.380103	68698	68732	35	NA	NA
122	chrI	68905	68947	+	68947	1.559088	0.779544	68905	68947	43	NA	NA
123	chrI	69142	69252	+	69167	2.143746	0.389772	69167	69237	71	NA	NA
124	chrI	69907	70142	+	70031	21.047695	1.559089	69996	70133	138	NA	NA
126	chrI	70204	70368	+	70326	51.644815	15.006231	70245	70360	116	NA	NA
128	chrI	70403	70688	+	70688	102.510087	18.709067	70433	70688	256	NA	NA
133	chrI	71860	72590	+	72588	4289.443262	658.325281	71915	72588	674	NA	YAL037W
134	chrI	72620	72842	+	72798	3253.623607	459.736335	72657	72832	176	NA	YAL037W
135	chrI	72901	72998	+	72968	147.918553	85.360116	72929	72974	46	NA	YAL037W
140	chrI	74566	74592	+	74569	1.948861	1.169317	74569	74574	6	NA	YAL038W
141	chrI	74656	74750	+	74730	4.092607	1.364203	74687	74736	50	NA	YAL038W
143	chrI	76502	76607	+	76605	448.043168	124.142452	76546	76605	60	NA	YAL041W
145	chrI	76653	76940	+	76931	1282.740364	593.23332	76676	76931	256	NA	YAL041W
147	chrI	77031	77126	+	77123	312.597315	66.65105	77031	77123	93	NA	YAL041W
148	chrI	77156	77451	+	77432	258.418964	27.868714	77186	77432	247	NA	YAL041W
149	chrI	77713	77759	+	77724	5.651696	1.559089	77723	77756	34	NA	YAL041W
150	chrI	77795	77942	+	77839	5.261922	0.779544	77827	77927	101	NA	YAL041W
152	chrI	78103	78138	+	78137	1.364202	0.389772	78103	78138	36	NA	YAL041W
154	chrI	78228	78433	+	78351	18.709061	6.821014	78237	78402	166	NA	YAL041W
155	chrI	78539	78929	+	78795	48.526631	8.185217	78618	78843	226	NA	YAL041W
156	chrI	79059	79126	+	79106	5.651696	1.753975	79082	79121	40	NA	YAL041W
159	chrI	79824	80201	+	80018	22.801666	2.143747	79878	80170	293	NA	YAL042W
161	chrI	80355	80357	+	80355	1.753975	1.169317	80355	80357	3	NA	YAL042W
162	chrI	81583	81599	+	81587	1.169316	0.389772	81583	81599	17	NA	NA
166	chrI	82815	83014	+	82956	51.8397	17.53975	82873	82957	85	NA	YAL044W-A
170	chrI	84644	84678	+	84671	1.169316	0.389772	84644	84678	35	NA	YAL047W-A
172	chrI	87501	87559	+	87501	6.821013	1.948861	87501	87521	21	NA	YAL051W
175	chrI	93331	93363	+	93362	2.338633	1.364203	93331	93362	32	NA	YAL053W
176	chrI	93899	93925	+	93902	1.559088	0.779544	93899	93925	27	NA	YAL053W
180	chrI	94903	94960	+	94922	2.92329	0.584658	94910	94960	51	NA	YAL055W
181	chrI	94991	95181	+	95118	54.762991	8.185217	95057	95173	117	NA	YAL055W
183	chrI	99371	99414	+	99414	2.143747	1.364203	99371	99414	44	NA	NA
184	chrI	110675	110727	+	110675	1.559088	0.779544	110675	110727	53	NA	NA
187	chrI	115232	115306	+	115233	11.693163	5.261925	115233	115297	65	NA	YAL058W
188	chrI	115353	115374	+	115353	4.092608	1.364203	115353	115372	20	NA	YAL058W
190	chrI	115473	115759	+	115718	13.836908	4.287494	115542	115739	198	NA	YAL058W
191	chrI	115906	116168	+	116101	33.715292	4.872153	115981	116134	154	NA	YAL058W
192	chrI	116203	116274	+	116255	4.092607	0.974431	116206	116272	67	NA	YAL058W
193	chrI	116441	116444	+	116441	2.728405	1.753975	116441	116444	4	NA	YAL058W
194	chrI	116886	116983	+	116905	2.728404	0.389772	116892	116967	76	NA	YAL058W
195	chrI	117018	117098	+	117032	2.338632	0.584658	117028	117088	61	NA	YAL058W
197	chrI	117851	117871	+	117870	3.118178	1.753975	117856	117871	16	NA	YAL058W
200	chrI	118101	118160	+	118159	2.143746	0.779544	118118	118159	42	NA	YAL058W
202	chrI	120199	120323	+	120279	7.210783	0.974431	120215	120313	99	NA	YAL059W
203	chrI	120405	120479	+	120430	1.559088	0.389772	120405	120479	75	NA	YAL059W
205	chrI	120756	120794	+	120767	3.507949	1.169317	120756	120789	34	NA	YAL059W
206	chrI	120927	120950	+	120927	1.559089	1.364203	120927	120950	24	NA	YAL059W
208	chrI	121062	121193	+	121160	7.210784	1.169317	121091	121192	102	NA	YAL059W
209	chrI	121777	121810	+	121800	1.364202	0.584658	121777	121810	34	NA	YAL059W
210	chrI	121935	121980	+	121956	1.364202	0.389772	121935	121980	46	NA	YAL059W
211	chrI	122083	122100	+	122084	1.559088	0.584658	122083	122100	18	NA	YAL059W
213	chrI	122403	122408	+	122408	1.169316	0.779544	122403	122408	6	NA	YAL059W
215	chrI	122540	122606	+	122568	2.923292	0.974431	122567	122589	23	NA	YAL059W
218	chrI	123021	123064	+	123021	1.169316	0.584658	123021	123064	44	NA	YAL059W
220	chrI	123315	123342	+	123317	1.753974	0.779544	123315	123342	28	NA	YAL059W
222	chrI	123495	123648	+	123532	5.651695	1.364203	123508	123637	130	NA	YAL059W
223	chrI	123684	123834	+	123721	2.533518	0.389772	123710	123811	102	NA	YAL059W
224	chrI	123867	123896	+	123874	1.364202	0.584658	123867	123896	30	NA	YAL059W
228	chrI	125266	125719	+	125513	34.299947	3.50795	125289	125660	372	NA	YAL060W
230	chrI	125755	125766	+	125763	30.597119	22.02213	125762	125763	2	NA	YAL060W
231	chrI	125869	126021	+	125879	21.43747	5.456811	125878	125998	121	NA	YAL060W
233	chrI	126097	126281	+	126237	9.744303	2.338633	126120	126247	128	NA	YAL060W
234	chrI	126315	126414	+	126340	8.964758	2.338633	126316	126387	72	NA	YAL060W
236	chrI	126972	127030	+	127025	1.169316	0.389772	126972	127030	59	NA	NA
237	chrI	127823	127837	+	127837	1.169316	0.584658	127823	127837	15	NA	NA
238	chrI	128169	128215	+	128193	3.702834	0.389772	128183	128215	33	NA	NA
241	chrI	129893	129991	+	129923	10.718732	3.897722	129908	129976	69	NA	YAL061W
244	chrI	130836	131177	+	131114	190.403714	23.191447	130868	131156	289	NA	YAL062W
245	chrI	131209	131756	+	131283	107.577115	7.990331	131232	131664	433	NA	YAL062W
248	chrI	132494	132927	+	132495	43.2647	2.338633	132498	132828	331	NA	YAL064W
250	chrI	132966	133094	+	132988	5.067037	1.559089	132988	133094	107	NA	YAL064W
252	chrI	133210	133354	+	133272	9.939189	1.559089	133238	133346	109	NA	YAL064W
254	chrI	133555	133593	+	133593	2.338632	0.779544	133563	133593	31	NA	YAL064W
257	chrI	136152	136172	+	136158	15.980661	5.261925	136158	136169	12	NA	YAL064W-B
258	chrI	136212	136339	+	136335	22.801673	5.846583	136231	136335	105	NA	YAL064W-B
261	chrI	136976	137350	+	137173	268.35816	51.839705	137061	137274	214	NA	YAL066W
262	chrI	137722	137767	+	137725	6.43124	1.364203	137725	137755	31	NA	NA
265	chrI	139185	139218	+	139185	1.559088	0.779544	139185	139218	34	NA	NA
269	chrI	142254	142503	+	142431	75.031145	7.990331	142256	142431	176	NA	YAL068W-A
270	chrI	142542	142894	+	142669	2172.785236	1130.924099	142669	142840	172	NA	YAL068W-A
272	chrI	142928	143148	+	143111	190.98838	25.724967	142930	143116	187	NA	YAL068W-A
276	chrI	143933	144111	+	144020	7.405669	0.974431	143953	144095	143	NA	YAL069W
277	chrI	144151	144169	+	144169	1.169316	0.584658	144151	144169	19	NA	YAL069W
278	chrI	144305	144359	+	144305	6.041469	3.50795	144305	144322	18	NA	YAL069W
279	chrI	144462	144538	+	144490	3.702835	1.753975	144490	144514	25	NA	YAL069W
281	chrI	145009	145021	+	145009	2.533519	1.753975	145009	145021	13	NA	YAL069W
282	chrI	145191	145222	+	145192	1.94886	0.779544	145191	145220	30	NA	YAL069W
283	chrI	145270	145417	+	145417	3.89772	0.779544	145270	145417	148	NA	YAL069W
285	chrI	145612	145687	+	145647	2.338633	0.974431	145612	145686	75	NA	YAL069W
286	chrI	146084	146128	+	146123	1.364202	0.389772	146084	146128	45	NA	YAL069W
291	chrI	152475	153139	+	152543	70.353869	4.482381	152542	153079	538	NA	YAR002W
294	chrI	153394	153425	+	153424	5.067038	1.169317	153394	153425	32	NA	YAR002W
295	chrI	153599	153600	+	153599	1.948861	1.559089	153599	153600	2	NA	YAR002W
297	chrI	155339	155494	+	155387	8.574987	2.533519	155360	155475	116	NA	YAR003W
298	chrI	155547	155597	+	155575	1.364202	0.389772	155547	155597	51	NA	YAR003W
299	chrI	155757	155839	+	155757	3.313063	1.559089	155757	155833	77	NA	YAR003W
300	chrI	155877	156233	+	155944	52.619241	10.52385	155936	156122	187	NA	YAR003W
301	chrI	156317	156354	+	156335	2.143747	1.364203	156334	156345	12	NA	NA
303	chrI	159079	159107	+	159091	8.96476	7.405672	159090	159091	2	NA	YAR008W
304	chrI	159326	159367	+	159339	1.364202	0.584658	159326	159367	42	NA	YAR008W
305	chrI	166148	166224	+	166150	2.143746	0.389772	166150	166223	74	NA	NA
306	chrI	166259	166288	+	166287	1.364202	0.584658	166259	166288	30	NA	NA
308	chrI	169426	169567	+	169535	240.879227	83.411255	169427	169535	109	NA	YAR015W
309	chrI	169604	169831	+	169742	113.423709	24.55565	169617	169796	180	NA	YAR015W
310	chrI	169861	170003	+	169925	167.212279	66.261278	169879	169959	81	NA	YAR015W
311	chrI	170884	170933	+	170933	3.118177	0.974431	170886	170933	48	NA	NA
312	chrI	171904	171955	+	171921	4.287493	1.364203	171904	171951	48	NA	NA
315	chrI	175261	175425	+	175312	78.149326	12.472711	175295	175382	88	NA	YAR019W-A
316	chrI	175709	175712	+	175709	2.143746	0.779544	175709	175712	4	NA	NA
317	chrI	176657	176707	+	176679	2.143746	0.584658	176664	176697	34	NA	NA
318	chrI	179283	179331	+	179306	1.169316	0.389772	179283	179331	49	NA	NA
319	chrI	179530	179590	+	179560	2.728405	0.974431	179532	179564	33	NA	NA
320	chrI	179795	179909	+	179896	9.159645	1.559089	179839	179899	61	NA	NA
321	chrI	180240	180342	+	180328	21.827243	5.846583	180249	180328	80	NA	NA
322	chrI	181415	181464	+	181446	4.677266	2.923292	181425	181452	28	NA	NA
327	chrI	183722	184146	+	183794	173.05885	18.709067	183739	184133	395	NA	YAR027W
330	chrI	184997	185174	+	185108	9.93919	1.169317	185027	185153	127	NA	YAR028W
331	chrI	185204	185380	+	185231	30.98689	6.041469	185229	185339	111	NA	YAR028W
338	chrI	186897	187011	+	186986	132.912325	32.935753	186951	186997	47	NA	YAR031W
339	chrI	187116	187255	+	187171	10.913619	2.728406	187157	187242	86	NA	YAR031W
340	chrI	187290	187447	+	187395	53.983451	12.472711	187368	187441	74	NA	YAR031W
342	chrI	188274	188290	+	188284	6.626127	4.092608	188284	188285	2	NA	YAR033W
343	chrI	188444	188466	+	188465	2.338632	0.779544	188444	188466	23	NA	YAR033W
344	chrI	188833	188944	+	188854	28.84314	6.821014	188849	188935	87	NA	NA
348	chrI	190262	190394	+	190331	3.89772	0.779544	190274	190381	108	NA	YAR035W
349	chrI	191499	191630	+	191563	10.718734	4.287494	191531	191624	94	NA	YAR035W
351	chrI	191873	192011	+	191933	23.581217	4.092608	191924	191983	60	NA	YAR035W
353	chrI	192875	193019	+	192898	4.092607	1.169317	192882	192999	118	NA	YAR042W
354	chrI	193063	193110	+	193065	2.533519	1.559089	193063	193095	33	NA	YAR042W
355	chrI	193306	193307	+	193306	1.169316	0.584658	193306	193307	2	NA	YAR042W
356	chrI	193585	193594	+	193594	1.169316	0.779544	193585	193594	10	NA	YAR042W
357	chrI	193689	193772	+	193728	3.702835	1.169317	193700	193765	66	NA	YAR042W
358	chrI	194081	194296	+	194174	6.431238	0.779544	194134	194251	118	NA	YAR042W
359	chrI	194432	194577	+	194486	7.600554	0.779544	194436	194576	141	NA	YAR042W
362	chrI	195025	195126	+	195025	3.89772	0.779544	195025	195125	101	NA	YAR042W
364	chrI	195549	195658	+	195656	4.872151	2.533519	195592	195656	65	NA	YAR042W
365	chrI	195691	195847	+	195813	13.836911	6.626128	195726	195817	92	NA	YAR042W
367	chrI	196825	196917	+	196882	2.923291	0.974431	196840	196889	50	NA	NA
368	chrI	198472	198543	+	198530	9.549419	2.143747	198472	198538	67	NA	NA
369	chrI	198726	198987	+	198745	102.315201	17.149978	198744	198946	203	NA	NA
370	chrI	199018	199589	+	199134	167.602036	8.964761	199120	199439	320	NA	NA
372	chrI	200567	200687	+	200620	86.724317	14.811344	200618	200647	30	NA	NA
373	chrI	200969	200978	+	200974	1.169316	0.584658	200969	200978	10	NA	NA
374	chrI	201230	201232	+	201232	1.169317	0.974431	201230	201232	3	NA	NA
375	chrI	207245	207284	+	207276	1.169316	0.389772	207245	207284	40	NA	YAR050W
376	chrI	207594	207723	+	207624	20.852811	5.067039	207597	207644	48	NA	YAR050W
379	chrI	208698	208832	+	208771	11.498277	1.948861	208739	208822	84	NA	NA
380	chrI	208904	208964	+	208960	3.313063	0.974431	208908	208960	53	NA	NA
382	chrI	225686	225703	+	225686	1.169316	0.584658	225686	225703	18	NA	YAR071W
386	chrII	5894	5955	+	5955	1.94886	0.779544	5920	5955	36	NA	YBL004W
387	chrII	8410	8455	+	8425	4.677265	1.559089	8425	8452	28	NA	YBL005W-B
391	chrII	9331	9332	+	9332	38.392564	38.002792	9332	9332	1	NA	YBL005W-A
393	chrII	10623	10859	+	10754	22.996558	2.923292	10642	10807	166	NA	NA
394	chrII	10901	11000	+	10937	3.702835	0.974431	10926	10991	66	NA	NA
395	chrII	11143	11145	+	11143	1.753975	1.559089	11143	11145	3	NA	NA
396	chrII	13134	13216	+	13205	26.114738	20.657928	13202	13205	4	NA	NA
397	chrII	18146	18191	+	18152	1.169316	0.584658	18146	18191	46	NA	NA
398	chrII	21465	21503	+	21500	1.753974	0.584658	21465	21503	39	NA	NA
401	chrII	24424	24610	+	24535	9.159643	1.364203	24476	24574	99	NA	YBL005W
404	chrII	28484	28722	+	28496	38.002784	5.456811	28492	28687	196	NA	YBL006W-A
408	chrII	29939	30009	+	29943	8.380102	1.364203	29939	29995	57	NA	YBL008W
409	chrII	30391	30534	+	30517	25.530077	5.261925	30409	30527	119	NA	YBL008W
410	chrII	30754	30789	+	30757	9.354531	4.872153	30757	30779	23	NA	YBL008W
411	chrII	31400	31448	+	31421	1.94886	0.389772	31401	31448	48	NA	YBL008W
412	chrII	32003	32043	+	32021	5.45681	1.948861	32019	32026	8	NA	YBL008W
413	chrII	32749	32848	+	32783	8.769872	1.753975	32750	32815	66	NA	YBL008W
414	chrII	33004	33084	+	33059	2.143746	0.389772	33023	33065	43	NA	YBL008W
415	chrII	33140	33208	+	33160	3.507948	0.779544	33140	33206	67	NA	YBL008W
416	chrII	33551	33642	+	33563	14.031797	2.533519	33561	33607	47	NA	YBL008W
417	chrII	33807	33810	+	33810	3.118178	1.559089	33809	33810	2	NA	YBL008W
418	chrII	34431	34504	+	34436	7.405669	2.338633	34435	34493	59	NA	YBL008W
419	chrII	34538	34612	+	34538	5.846582	1.753975	34538	34602	65	NA	YBL008W
422	chrII	37201	37698	+	37626	82.04704	15.396003	37248	37648	401	NA	YBL009W
423	chrII	37811	38055	+	37953	13.642023	1.364203	37836	38040	205	NA	YBL009W
425	chrII	38090	38444	+	38425	40.926075	14.811344	38113	38427	315	NA	YBL009W
426	chrII	38481	38630	+	38623	59.245374	21.632358	38506	38623	118	NA	YBL009W
428	chrII	39300	39345	+	39317	2.533518	0.779544	39302	39345	44	NA	YBL011W
429	chrII	39547	39691	+	39612	7.210784	1.169317	39581	39683	103	NA	YBL011W
431	chrII	39859	39862	+	39859	1.753975	1.559089	39859	39862	4	NA	YBL011W
432	chrII	39976	40258	+	40063	39.756759	5.456811	40031	40210	180	NA	YBL011W
435	chrII	41071	41213	+	41190	42.680054	8.380103	41075	41205	131	NA	YBL013W
436	chrII	41516	41560	+	41517	1.559088	0.584658	41516	41560	45	NA	YBL013W
437	chrII	41641	41775	+	41715	8.380099	1.364203	41666	41774	109	NA	YBL013W
438	chrII	41826	41917	+	41876	9.354529	2.143747	41847	41912	66	NA	YBL013W
439	chrII	41976	42151	+	42041	11.888049	1.364203	42004	42117	114	NA	YBL013W
440	chrII	42261	42306	+	42270	1.364202	0.584658	42261	42306	46	NA	YBL013W
441	chrII	42483	42589	+	42516	10.134076	4.482381	42516	42588	73	NA	YBL013W
443	chrII	43422	43836	+	43570	30.402222	3.702836	43473	43734	262	NA	YBL015W
445	chrII	43874	43923	+	43909	1.364202	0.584658	43874	43923	50	NA	YBL015W
448	chrII	45714	45946	+	45717	22.217011	4.482381	45717	45893	177	NA	YBL016W
449	chrII	45976	46218	+	45981	511.770914	143.046405	45981	46081	101	NA	YBL016W
450	chrII	46559	46710	+	46583	16.175544	5.456811	46579	46607	29	NA	NA
451	chrII	46742	46793	+	46778	37.418132	13.252256	46769	46786	18	NA	NA
453	chrII	46931	47012	+	47012	1.94886	0.389772	46940	47012	73	NA	NA
454	chrII	47368	47420	+	47368	3.118177	1.169317	47368	47420	53	NA	NA
462	chrII	49886	50139	+	49975	13.252251	1.753975	49906	50119	214	NA	YBL020W
464	chrII	50264	50454	+	50426	15.396	5.846583	50319	50427	109	NA	YBL020W
465	chrII	50582	50639	+	50626	2.533519	1.169317	50599	50626	28	NA	YBL020W
466	chrII	59509	59544	+	59544	2.143747	0.974431	59519	59544	26	NA	NA
467	chrII	59775	59802	+	59781	1.364202	0.389772	59775	59802	28	NA	NA
468	chrII	60176	60251	+	60176	1.948861	0.974431	60176	60225	50	NA	NA
473	chrII	63842	64082	+	64017	94.714639	12.277825	63858	64064	207	NA	YBL024W
474	chrII	64145	64226	+	64226	4.482378	0.779544	64149	64226	78	NA	YBL024W
475	chrII	64518	64670	+	64572	7.990328	1.559089	64567	64660	94	NA	YBL024W
476	chrII	64712	64851	+	64777	6.041466	0.779544	64736	64849	114	NA	YBL024W
477	chrII	64884	65007	+	64954	10.523846	2.923292	64913	64994	82	NA	YBL024W
478	chrII	65055	65210	+	65063	36.443701	8.769875	65057	65170	114	NA	YBL024W
479	chrII	65249	65299	+	65250	4.482379	2.338633	65249	65287	39	NA	YBL024W
480	chrII	65484	65637	+	65633	41.315851	16.175547	65586	65635	50	NA	YBL024W
481	chrII	65853	65961	+	65880	10.328962	2.143747	65880	65938	59	NA	YBL024W
482	chrII	66248	66298	+	66251	2.923291	2.143747	66251	66290	40	NA	YBL024W
483	chrII	66465	66487	+	66467	6.041469	3.50795	66466	66468	3	NA	YBL024W
486	chrII	72153	72367	+	72154	32.351089	6.821014	72154	72332	179	NA	YBL025W
487	chrII	72398	72495	+	72440	4.677265	1.559089	72424	72481	58	NA	YBL025W
492	chrII	75286	75404	+	75286	29.232912	5.456811	75286	75398	113	NA	YBL026W
494	chrII	75626	75649	+	75647	16.760205	10.134078	75647	75648	2	NA	YBL026W
495	chrII	76141	76190	+	76141	5.261925	2.728406	76141	76187	47	NA	YBL026W
496	chrII	76237	76258	+	76256	3.313063	1.364203	76246	76258	13	NA	YBL026W
497	chrII	76458	76736	+	76590	53.788563	6.236356	76483	76724	242	NA	YBL026W
499	chrII	76922	76943	+	76941	2.923291	1.948861	76926	76942	17	NA	YBL026W
500	chrII	77281	77302	+	77289	5.456811	2.923292	77284	77289	6	NA	YBL026W
502	chrII	77614	77752	+	77616	11.88805	4.677267	77616	77701	86	NA	YBL026W
503	chrII	77975	78003	+	78003	1.364202	0.779544	77975	78003	29	NA	YBL026W
504	chrII	78225	78307	+	78295	2.92329	0.779544	78233	78298	66	NA	YBL026W
505	chrII	78472	78511	+	78488	1.753974	0.584658	78472	78511	40	NA	YBL026W
506	chrII	78817	78883	+	78828	8.96476	4.092608	78828	78862	35	NA	YBL026W
507	chrII	79240	79305	+	79278	6.43124	1.948861	79273	79303	31	NA	YBL026W
508	chrII	79480	79519	+	79517	2.923291	1.364203	79489	79519	31	NA	YBL026W
510	chrII	88005	88093	+	88049	8.769873	3.897722	88024	88053	30	NA	NA
514	chrII	90047	90101	+	90099	73.66695	40.341425	90061	90101	41	NA	YBL031W
516	chrII	90951	91176	+	91104	15.006226	2.533519	90999	91134	136	NA	YBL032W
517	chrII	91208	91260	+	91241	3.313063	1.559089	91213	91260	48	NA	YBL032W
522	chrII	92529	92653	+	92600	14.811342	2.338633	92545	92618	74	NA	YBL038W
524	chrII	92696	92900	+	92857	10.328961	2.728406	92703	92858	156	NA	YBL038W
525	chrII	93031	93075	+	93034	4.872151	1.948861	93034	93068	35	NA	YBL038W
526	chrII	96252	96340	+	96284	4.677264	0.779544	96262	96337	76	NA	NA
527	chrII	96370	96421	+	96402	4.092607	1.364203	96370	96421	52	NA	NA
533	chrII	102612	102625	+	102618	1.559088	0.389772	102612	102625	14	NA	YBL041W
534	chrII	102926	102945	+	102928	2.143747	0.974431	102926	102930	5	NA	YBL041W
535	chrII	103053	103182	+	103152	3.313063	0.974431	103053	103180	128	NA	YBL041W
536	chrII	103227	103315	+	103267	2.533519	0.974431	103228	103315	88	NA	YBL041W
537	chrII	103425	103447	+	103425	1.364202	0.389772	103425	103447	23	NA	YBL041W
538	chrII	103675	103701	+	103675	2.728405	1.948861	103675	103692	18	NA	YBL041W
544	chrII	108121	108208	+	108121	3.507948	0.584658	108121	108208	88	NA	YBL044W
545	chrII	108249	108360	+	108299	3.118176	0.779544	108251	108359	109	NA	YBL044W
546	chrII	108413	108484	+	108417	4.287493	1.364203	108417	108459	43	NA	YBL044W
547	chrII	108524	108670	+	108632	9.549417	1.753975	108595	108649	55	NA	YBL044W
