cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
41	chrI	38404	38435	+	38420	1.55202	0.620808	38404	38435	32
42	chrI	38563	38594	+	38564	5.58727	3.104039	38563	38565	3
43	chrI	39163	39279	+	39215	379.934379	73.255321	39201	39253	53
44	chrI	39797	39816	+	39816	1.241616	0.931212	39797	39816	20
45	chrI	40015	40031	+	40031	1.241616	0.931212	40015	40031	17
46	chrI	40333	40385	+	40334	4.65606	1.55202	40333	40364	32
47	chrI	40921	41216	+	40974	14.278584	1.241616	40949	41198	250
48	chrI	41250	41404	+	41347	21.417873	4.345655	41250	41375	126
49	chrI	42107	42231	+	42155	354.481262	71.703301	42154	42185	32
50	chrI	42279	42486	+	42305	53.699882	13.036964	42305	42423	119
51	chrI	43125	43211	+	43205	5.897675	1.862423	43125	43211	87
52	chrI	43434	43539	+	43469	48.423012	13.036964	43438	43499	62
53	chrI	43751	43798	+	43782	4.966463	2.172827	43754	43787	34
54	chrI	45654	46305	+	45810	2536.931102	486.713316	45749	45877	129
55	chrI	46469	46537	+	46470	4.035252	0.620808	46470	46537	68
56	chrI	46606	46678	+	46606	5.897676	1.241616	46606	46656	51
57	chrI	46738	46922	+	46748	11.484946	1.862423	46748	46914	167
58	chrI	47087	47089	+	47089	5.276867	3.414443	47087	47089	3
59	chrI	47186	47318	+	47205	4.65606	0.931212	47205	47315	111
60	chrI	47372	47508	+	47382	7.139292	0.620808	47382	47464	83
61	chrI	47540	47671	+	47644	31.350797	15.830599	47601	47645	45
62	chrI	47716	47897	+	47717	25.14272	9.622521	47717	47858	142
63	chrI	48005	48172	+	48056	42.214936	7.449694	48016	48095	80
64	chrI	48444	49116	+	48555	293.331703	40.352507	48511	48795	285
65	chrI	49502	49533	+	49533	2.483232	0.931212	49502	49533	32
66	chrI	49975	50008	+	50005	3.10404	0.620808	49976	50007	32
67	chrI	50474	50480	+	50475	1.241616	0.620808	50474	50480	7
68	chrI	50724	50724	+	50724	1.862423	1.862423	50724	50724	1
69	chrI	51106	51120	+	51106	1.241616	0.931212	51106	51120	15
70	chrI	51209	51262	+	51225	2.483232	0.931212	51209	51262	54
71	chrI	54181	54270	+	54181	5.897676	1.241616	54181	54252	72
72	chrI	54892	54921	+	54892	1.55202	0.931212	54892	54921	30
73	chrI	56531	56574	+	56555	4.65606	1.55202	56531	56574	44
74	chrI	56666	56693	+	56688	7.139291	2.793635	56666	56693	28
75	chrI	56951	57006	+	57006	5.587271	1.862423	56964	57006	43
76	chrI	57425	57532	+	57506	1719.948018	713.618568	57496	57524	29
77	chrI	57608	57724	+	57608	4.966464	0.931212	57608	57724	117
78	chrI	61254	61309	+	61300	1175.189173	466.847467	61274	61300	27
79	chrI	61434	62017	+	61971	326.234519	58.976741	61516	61972	457
80	chrI	62086	62334	+	62151	40.352514	4.966462	62127	62296	170
81	chrI	62748	62842	+	62776	267.878569	86.292284	62773	62819	47
82	chrI	63456	63512	+	63486	3.724848	0.931212	63484	63512	29
83	chrI	63893	63954	+	63898	1.862424	0.620808	63893	63954	62
84	chrI	64077	64078	+	64078	1.55202	1.241616	64077	64078	2
85	chrI	64260	64291	+	64289	7.139291	3.724847	64266	64290	25
86	chrI	64493	64577	+	64577	8.070503	2.483231	64521	64577	57
87	chrI	64647	64734	+	64683	7.7601	0.931212	64649	64732	84
88	chrI	65019	65045	+	65021	4.035251	2.483231	65020	65044	25
89	chrI	65134	65174	+	65134	1.241616	0.620808	65134	65174	41
90	chrI	65282	65309	+	65309	2.483231	1.862423	65282	65309	28
91	chrI	68153	68207	+	68195	4.345656	1.241616	68169	68195	27
92	chrI	68684	68809	+	68703	35.075643	7.449694	68692	68732	41
93	chrI	68901	68947	+	68947	4.65606	1.55202	68910	68947	38
94	chrI	69938	70139	+	70094	34.454839	3.724847	69947	70119	173
95	chrI	70309	70360	+	70326	7.449694	2.793635	70320	70350	31
96	chrI	70496	70522	+	70507	5.587271	3.104039	70502	70517	16
97	chrI	70603	70688	+	70688	26.073928	24.521908	70688	70688	1
98	chrI	71395	71436	+	71404	4.966463	2.172827	71395	71436	42
99	chrI	71612	71759	+	71759	69764.828702	62563.768601	71758	71759	2
100	chrI	71860	72107	+	71915	947.352728	97.466825	71886	72045	160
101	chrI	72137	72590	+	72588	2942.939414	539.171575	72278	72588	311
102	chrI	72620	72842	+	72798	2710.757276	344.237926	72659	72833	175
103	chrI	72891	72998	+	72968	170.411748	81.325822	72907	72974	68
104	chrI	73381	73517	+	73486	27.625951	6.208078	73418	73486	69
105	chrI	73662	73688	+	73662	3.414444	1.55202	73662	73688	27
106	chrI	73810	74061	+	73914	120.436722	16.141003	73902	73957	56
107	chrI	74396	74435	+	74435	2.172828	0.620808	74396	74435	40
108	chrI	74723	74736	+	74730	2.483232	1.55202	74723	74736	14
109	chrI	76335	76405	+	76401	6758.113729	4159.412269	76392	76405	14
110	chrI	76502	76730	+	76676	769.491286	144.958622	76570	76703	134
111	chrI	76760	76940	+	76931	1240.994811	713.618568	76843	76931	89
112	chrI	77031	77451	+	77031	771.974535	94.67319	77031	77430	400
113	chrI	77715	77786	+	77756	7.449695	1.862423	77723	77756	34
114	chrI	77894	77942	+	77942	1.241616	0.620808	77894	77942	49
115	chrI	78235	78250	+	78237	5.897675	2.483231	78235	78246	12
116	chrI	78284	78444	+	78351	23.280296	10.243329	78320	78402	83
117	chrI	78527	78948	+	78795	70.461699	6.518482	78592	78845	254
118	chrI	79074	79124	+	79106	6.828887	2.793635	79077	79108	32
119	chrI	79657	79718	+	79689	81.325823	34.454833	79674	79695	22
120	chrI	79866	79913	+	79879	3.10404	0.620808	79874	79908	35
121	chrI	80001	80121	+	80018	5.587272	0.931212	80003	80120	118
122	chrI	80264	80266	+	80264	2.793636	1.55202	80264	80266	3
123	chrI	82185	82304	+	82261	13.347371	4.656059	82212	82282	71
124	chrI	82484	82523	+	82523	1.241616	0.620808	82484	82523	40
125	chrI	82662	82728	+	82701	1064.685382	373.415892	82685	82704	20
126	chrI	82828	83072	+	82956	63.322404	22.659485	82895	83041	147
127	chrI	83845	83860	+	83845	1.241616	0.310404	83845	83860	16
128	chrI	84285	84314	+	84285	1.241616	0.310404	84285	84314	30
129	chrI	84382	84438	+	84410	1.55202	0.620808	84382	84438	57
130	chrI	87217	87294	+	87264	624.222246	281.225934	87250	87270	21
131	chrI	87516	87527	+	87527	1.55202	0.620808	87516	87527	12
132	chrI	92377	92451	+	92388	23.280295	6.518482	92388	92424	37
133	chrI	92828	93118	+	92859	224.732434	38.800488	92848	92913	66
134	chrI	93900	93923	+	93902	1.241616	0.620808	93900	93923	24
135	chrI	94114	94163	+	94119	3.414444	0.931212	94114	94149	36
136	chrI	94249	94250	+	94250	1.241616	0.931212	94249	94250	2
137	chrI	94555	94680	+	94607	335.236219	91.569151	94595	94646	52
138	chrI	94891	94960	+	94918	2.483232	0.620808	94891	94960	70
139	chrI	95028	95179	+	95173	54.010284	10.553733	95062	95173	112
140	chrI	99371	99414	+	99414	3.414443	2.483231	99397	99414	18
141	chrI	114162	114178	+	114178	1.55202	0.931212	114162	114178	17
142	chrI	114786	114862	+	114809	356.964486	167.307702	114806	114828	23
143	chrI	115125	115195	+	115195	12.726562	3.724847	115143	115195	53
144	chrI	115233	115373	+	115233	12.726563	3.414443	115233	115355	123
145	chrI	115551	115558	+	115552	1.55202	0.620808	115551	115558	8
146	chrI	115610	115718	+	115718	7.449695	1.862423	115640	115718	79
147	chrI	115934	116161	+	116101	41.594131	5.276866	116005	116133	129
148	chrI	116203	116272	+	116255	5.587272	0.931212	116205	116258	54
149	chrI	116441	116492	+	116441	3.724848	1.241616	116441	116470	30
150	chrI	117033	117088	+	117088	2.172828	0.931212	117033	117088	56
151	chrI	117817	117894	+	117870	6.518483	2.483231	117825	117871	47
152	chrI	117999	118027	+	118003	1.55202	0.620808	117999	118027	29
153	chrI	118084	118118	+	118106	1.55202	0.620808	118084	118118	35
154	chrI	119826	119899	+	119858	289.296437	67.357646	119855	119891	37
155	chrI	120148	120361	+	120279	18.934643	3.414443	120207	120327	121
156	chrI	120574	120609	+	120588	1.862424	1.241616	120574	120609	36
157	chrI	120725	120774	+	120767	4.65606	0.931212	120738	120774	37
158	chrI	121091	121117	+	121091	2.483232	1.241616	121091	121117	27
159	chrI	121775	121800	+	121777	1.241616	0.620808	121775	121800	26
160	chrI	122039	122112	+	122084	4.035252	1.241616	122067	122097	31
161	chrI	122288	122296	+	122296	2.172828	0.931212	122288	122296	9
162	chrI	122471	122486	+	122471	1.55202	1.241616	122471	122486	16
163	chrI	122721	122769	+	122743	3.724848	0.620808	122743	122767	25
164	chrI	122831	123066	+	122933	6.20808	0.931212	122856	123045	190
165	chrI	123131	123180	+	123141	3.414444	0.931212	123139	123165	27
166	chrI	123315	123341	+	123322	2.793636	0.931212	123315	123341	27
167	chrI	123409	123465	+	123430	1.862424	0.620808	123409	123465	57
168	chrI	123502	123602	+	123532	8.691311	3.104039	123531	123593	63
169	chrI	123687	123690	+	123687	1.862424	0.931212	123687	123690	4
170	chrI	123843	123921	+	123875	3.724848	0.931212	123869	123917	49
171	chrI	124754	124818	+	124782	2769.423606	807.360546	124782	124801	20
172	chrI	125009	125072	+	125071	11.484946	7.13929	125039	125071	33
173	chrI	125511	125588	+	125564	10.243331	3.414443	125513	125587	75
174	chrI	125630	125775	+	125763	17.693023	11.484944	125710	125763	54
175	chrI	125876	125921	+	125879	9.932926	1.862423	125879	125915	37
176	chrI	126048	126170	+	126111	4.035252	0.620808	126071	126165	95
177	chrI	126224	126346	+	126340	8.070503	1.862423	126236	126340	105
178	chrI	126482	126499	+	126482	2.483232	1.241616	126482	126499	18
179	chrI	127837	127851	+	127837	1.862424	1.241616	127837	127851	15
180	chrI	128150	128153	+	128150	1.241616	0.620808	128150	128153	4
181	chrI	129200	129297	+	129244	494.47342	78.842591	129221	129251	31
182	chrI	129339	129694	+	129450	103.674913	13.347368	129376	129693	318
183	chrI	129859	129970	+	129923	4.966463	1.862423	129884	129963	80
184	chrI	130222	130275	+	130222	2.483232	0.620808	130222	130275	54
185	chrI	130678	130758	+	130735	3698.772886	1759.369309	130703	130748	46
186	chrI	130923	131592	+	131114	164.514088	14.899387	131018	131336	319
187	chrI	131626	131762	+	131717	12.726562	3.724847	131627	131747	121
188	chrI	132154	132301	+	132195	95.604405	24.521908	132185	132220	36
189	chrI	132491	132630	+	132498	18.624238	2.793635	132497	132625	129
190	chrI	132917	132927	+	132917	2.793636	0.931212	132917	132927	11
191	chrI	133087	133094	+	133094	1.241616	0.620808	133087	133094	8
192	chrI	133232	133379	+	133270	12.105754	1.862423	133250	133354	105
193	chrI	133525	133570	+	133525	2.483232	0.620808	133525	133570	46
194	chrI	135777	135882	+	135829	216.972336	52.147855	135813	135849	37
195	chrI	136009	136172	+	136106	20.176256	3.104039	136052	136169	118
196	chrI	136288	136371	+	136335	17.382621	3.104039	136288	136336	49
197	chrI	136484	136565	+	136559	14.588985	4.656059	136517	136565	49
198	chrI	136796	136905	+	136874	1014.089552	299.850168	136860	136882	23
199	chrI	136976	137448	+	137173	112.366228	11.795348	137053	137326	274
200	chrI	137700	137827	+	137725	8.691311	2.172827	137718	137795	78
201	chrI	138548	138600	+	138600	5.276867	2.793635	138554	138600	47
202	chrI	138781	138820	+	138781	1.55202	0.931212	138781	138820	40
203	chrI	139189	139220	+	139210	1.55202	0.620808	139189	139220	32
204	chrI	141670	141679	+	141673	3.104039	2.172827	141670	141679	10
205	chrI	141792	141825	+	141813	2.172828	0.931212	141792	141825	34
206	chrI	141941	142167	+	142153	12537.834361	5419.962509	142139	142153	15
207	chrI	142254	142446	+	142422	48.733416	5.58727	142256	142431	176
208	chrI	142596	142669	+	142669	663.953945	625.153456	142669	142669	1
209	chrI	142741	142894	+	142840	270.982618	85.050669	142766	142868	103
210	chrI	142924	143131	+	143111	103.054109	16.141003	142930	143117	188
211	chrI	143442	143442	+	143442	1.55202	1.55202	143442	143442	1
212	chrI	143539	143682	+	143616	259.497669	54.320683	143572	143630	59
213	chrI	143848	143873	+	143873	1.55202	1.241616	143848	143873	26
214	chrI	143961	144114	+	144066	9.312119	2.483231	143982	144102	121
215	chrI	144305	144306	+	144305	1.862424	1.241616	144305	144306	2
216	chrI	144636	144677	+	144655	2.172828	1.241616	144636	144677	42
217	chrI	145415	145420	+	145415	1.55202	0.620808	145415	145420	6
218	chrI	145546	145612	+	145546	1.241616	0.310404	145546	145612	67
219	chrI	146152	146154	+	146152	1.55202	0.931212	146152	146154	3
220	chrI	150822	150858	+	150822	1.55202	0.620808	150822	150858	37
221	chrI	150903	150933	+	150931	1.862424	1.241616	150903	150933	31
222	chrI	151769	151805	+	151772	5.897676	1.241616	151769	151805	37
223	chrI	152161	152233	+	152215	428.978194	268.18897	152208	152226	19
224	chrI	152475	152548	+	152543	9.932926	5.276866	152476	152543	68
225	chrI	152676	152796	+	152782	9.622524	1.55202	152677	152787	111
226	chrI	152998	153229	+	153032	12.726563	2.483231	153024	153185	162
227	chrI	153421	153425	+	153424	2.483232	1.55202	153421	153425	5
228	chrI	153599	153613	+	153599	1.241616	0.620808	153599	153613	15
229	chrI	154876	154988	+	154958	144.648221	40.973315	154920	154964	45
230	chrI	155387	155387	+	155387	1.241616	1.241616	155387	155387	1
231	chrI	155890	156164	+	155944	43.14615	8.070501	155913	156064	152
232	chrI	158796	158906	+	158864	201.141731	33.213217	158847	158891	45
233	chrI	159091	159112	+	159091	4.035251	3.724847	159091	159091	1
234	chrI	166191	166224	+	166191	1.241616	0.620808	166191	166224	34
235	chrI	169220	169336	+	169325	6763.700998	2376.14186	169282	169330	49
236	chrI	169426	169586	+	169535	132.232071	41.283719	169436	169536	101
237	chrI	169617	170149	+	169925	152.718735	35.386045	169685	169996	312
238	chrI	170856	170933	+	170933	4.656059	1.862423	170878	170933	56
239	chrI	171904	172046	+	171921	10.243332	1.241616	171921	172042	122
240	chrI	172145	172160	+	172152	1.241616	0.620808	172145	172160	16
241	chrI	175270	175350	+	175312	73.87613	22.038677	175298	175342	45
242	chrI	176650	176707	+	176697	3.414444	0.931212	176664	176697	34
243	chrI	179517	179560	+	179535	1.55202	0.620808	179517	179560	44
244	chrI	179862	179899	+	179896	8.691311	3.104039	179865	179899	35
245	chrI	180195	180328	+	180328	18.003429	4.035251	180225	180328	104
246	chrI	181420	181464	+	181427	3.10404	0.931212	181427	181446	20
247	chrI	182887	182933	+	182899	4.035252	0.931212	182899	182923	25
248	chrI	183372	183380	+	183380	103.054096	101.502076	183380	183380	1
249	chrI	183588	184146	+	183688	496.956664	71.392897	183682	183929	248
250	chrI	184187	184360	+	184268	36.317261	8.691309	184189	184299	111
251	chrI	184800	184892	+	184876	564.314297	188.415168	184845	184881	37
252	chrI	185110	185165	+	185110	2.483232	0.620808	185110	185165	56
253	chrI	185202	185264	+	185231	28.867565	6.518482	185229	185264	36
254	chrI	185514	185599	+	185564	2.483232	0.931212	185514	185599	86
255	chrI	185873	185952	+	185918	21.417871	9.312117	185902	185937	36
256	chrI	186107	186109	+	186109	3.414443	2.483231	186107	186109	3
257	chrI	186283	186318	+	186296	3.724848	0.620808	186290	186314	25
258	chrI	186391	186419	+	186418	1.241616	0.620808	186391	186419	29
259	chrI	186903	187006	+	186986	179.723864	52.768663	186951	186997	47
260	chrI	187161	187248	+	187171	10.24333	3.414443	187161	187224	64
261	chrI	187290	187448	+	187395	49.043822	10.864137	187318	187422	105
262	chrI	188006	188091	+	188055	236.83818	54.010279	188045	188065	21
263	chrI	188284	188320	+	188284	4.035251	3.104039	188284	188318	35
264	chrI	188441	188466	+	188465	2.483232	1.241616	188441	188466	26
265	chrI	188838	188944	+	188854	52.768668	18.624234	188849	188932	84
266	chrI	189296	189318	+	189300	11.484945	4.345655	189296	189313	18
267	chrI	189666	189666	+	189666	3.724847	3.724847	189666	189666	1
268	chrI	190149	190213	+	190163	37.869277	19.245042	190163	190195	33
269	chrI	190331	190385	+	190381	4.65606	1.55202	190331	190382	52
270	chrI	191528	191674	+	191563	22.03868	5.276866	191531	191624	94
271	chrI	191774	191830	+	191817	4.656059	1.862423	191778	191817	40
272	chrI	191916	192049	+	191933	27.936354	8.380905	191926	191983	58
273	chrI	192525	192701	+	192583	162.030849	19.555446	192562	192619	58
274	chrI	192896	192949	+	192898	5.587271	1.862423	192898	192949	52
275	chrI	193279	193307	+	193307	1.241616	0.620808	193279	193307	29
276	chrI	193593	193594	+	193594	2.483231	2.172827	193593	193594	2
277	chrI	193699	193729	+	193728	5.276866	2.793635	193728	193729	2
278	chrI	194144	194204	+	194173	5.276868	1.241616	194144	194203	60
279	chrI	194433	194576	+	194576	11.174544	1.55202	194449	194576	128
280	chrI	194885	194947	+	194913	3.10404	0.931212	194885	194941	57
281	chrI	195193	195262	+	195234	2.172828	0.620808	195193	195262	70
282	chrI	195518	195859	+	195813	25.453125	6.518482	195592	195815	224
283	chrI	195897	196043	+	195947	3.724848	0.931212	195917	196026	110
284	chrI	198472	198553	+	198530	63.322398	24.211504	198472	198538	67
285	chrI	198713	199136	+	199134	125.403187	20.176254	198750	199134	385
286	chrI	199207	199500	+	199263	105.537331	9.001713	199216	199445	230
287	chrI	200600	200707	+	200628	93.121173	17.693022	200618	200647	30
288	chrI	201230	201260	+	201232	2.483232	1.241616	201230	201260	31
289	chrI	207597	207636	+	207624	7.13929	2.172827	207603	207624	22
290	chrI	207884	207902	+	207887	3.724848	1.55202	207887	207902	16
291	chrI	208166	208224	+	208224	2.483232	0.620808	208166	208224	59
292	chrI	208739	208855	+	208811	8.070504	1.241616	208749	208829	81
293	chrI	208957	208978	+	208960	2.793636	1.241616	208957	208978	22
294	chrI	225393	225420	+	225413	5.897675	2.172827	225401	225415	15
295	chrI	225666	225699	+	225686	4.966463	1.862423	225678	225692	15
296	chrI	226449	226459	+	226450	3.724847	1.862423	226449	226456	8
297	chrI	227481	227521	+	227521	10.243329	4.345655	227496	227521	26
298	chrII	126	175	+	150	3.414444	1.241616	145	171	27
299	chrII	5894	5932	+	5930	2.483232	1.55202	5894	5932	39
300	chrII	8398	8585	+	8549	22.65949	2.793635	8427	8550	124
301	chrII	8762	8802	+	8769	2.483232	0.620808	8762	8802	41
302	chrII	9331	9332	+	9332	15.520195	15.209791	9332	9332	1
303	chrII	9730	9761	+	9761	1.241616	0.620808	9730	9761	32
304	chrII	10705	10759	+	10759	10.864138	3.414443	10722	10759	38
305	chrII	21476	21507	+	21476	2.483232	0.620808	21476	21507	32
306	chrII	23906	24027	+	23980	172.274168	58.045529	23980	24010	31
307	chrII	24081	24285	+	24085	51.527054	17.072215	24085	24250	166
308	chrII	24374	24535	+	24517	8.380908	0.931212	24424	24532	109
309	chrII	24604	24697	+	24680	7.139292	1.55202	24607	24691	85
310	chrII	28477	28687	+	28687	24.521911	4.345655	28496	28687	192
311	chrII	29379	29629	+	29576	56.183112	10.243329	29454	29585	132
312	chrII	29989	30004	+	29989	1.241616	0.310404	29989	30004	16
313	chrII	30467	30532	+	30475	5.897676	1.55202	30471	30517	47
314	chrII	30757	30784	+	30757	2.793636	1.241616	30757	30784	28
315	chrII	32019	32043	+	32021	3.10404	0.931212	32020	32043	24
316	chrII	33562	33606	+	33563	5.587272	1.241616	33563	33605	43
317	chrII	34577	34612	+	34588	1.862424	0.620808	34577	34612	36
318	chrII	36650	36766	+	36757	2848.576599	1558.537985	36733	36757	25
319	chrII	37215	37535	+	37311	18.62424	1.55202	37242	37483	242
320	chrII	37566	37685	+	37626	17.072217	7.13929	37582	37658	77
321	chrII	37920	37971	+	37953	2.793636	1.241616	37920	37971	52
322	chrII	38032	38113	+	38113	3.724848	0.931212	38032	38113	82
323	chrII	38324	38679	+	38623	79.463407	19.245042	38425	38636	212
324	chrII	39091	39125	+	39115	302.022998	157.685182	39113	39121	9
325	chrII	39345	39436	+	39345	2.172828	0.620808	39345	39436	92
326	chrII	39589	39614	+	39589	2.483232	0.931212	39589	39614	26
327	chrII	39751	39800	+	39751	2.172828	0.620808	39751	39800	50
328	chrII	39973	40280	+	40179	58.976752	4.966462	40027	40218	192
329	chrII	40724	40828	+	40813	129.43843	48.733412	40768	40813	46
330	chrII	40974	41205	+	41190	28.867567	3.724847	40997	41204	208
331	chrII	41516	41517	+	41516	1.862424	1.241616	41516	41517	2
332	chrII	41951	42067	+	42041	11.174543	2.172827	41989	42059	71
333	chrII	42516	42709	+	42516	16.45141	4.966462	42516	42670	155
334	chrII	43216	43283	+	43267	138.440143	54.631087	43252	43267	16
335	chrII	43570	43578	+	43570	2.483232	1.241616	43570	43578	9
336	chrII	43710	43757	+	43731	2.483232	0.931212	43710	43757	48
337	chrII	45295	45390	+	45305	15.520198	3.104039	45298	45371	74
338	chrII	45462	45634	+	45613	28582.301584	6779.531594	45609	45626	18
339	chrII	45977	46164	+	45981	360.37894	69.530474	45981	46087	107
340	chrII	46559	46610	+	46583	14.89939	4.035251	46575	46595	21
341	chrII	46742	46793	+	46778	40.662911	19.555446	46774	46782	9
342	chrII	46895	46927	+	46895	1.862424	0.620808	46895	46927	33
343	chrII	47420	47435	+	47420	1.55202	0.620808	47420	47435	16
344	chrII	48736	48824	+	48794	1470.072879	740.934111	48794	48818	25
345	chrII	49039	49104	+	49082	23.590697	6.208078	49062	49082	21
346	chrII	49491	49594	+	49558	200.831329	64.253607	49535	49576	42
347	chrII	49766	49772	+	49772	1.241616	0.931212	49766	49772	7
348	chrII	49854	49969	+	49906	6.518484	1.55202	49884	49961	78
349	chrII	50124	50139	+	50124	2.483232	1.241616	50124	50139	16
350	chrII	50426	50428	+	50426	6.518482	3.104039	50426	50427	2
351	chrII	50530	50642	+	50602	4.65606	1.241616	50532	50626	95
352	chrII	62915	62951	+	62915	1.55202	0.310404	62915	62951	37
353	chrII	63475	63534	+	63485	9.622521	2.483231	63483	63533	51
354	chrII	63607	63763	+	63740	1040.784286	402.283455	63675	63740	66
355	chrII	63842	63983	+	63909	26.073933	6.208078	63846	63963	118
356	chrII	64014	64079	+	64064	25.142718	6.518482	64017	64064	48
357	chrII	64115	64330	+	64190	10.864139	2.172827	64124	64306	183
358	chrII	64553	64598	+	64572	3.414443	2.172827	64556	64572	17
359	chrII	64888	64999	+	64952	8.691312	1.241616	64896	64995	100
360	chrII	65055	65150	+	65057	28.246757	9.001713	65057	65094	38
361	chrII	65209	65210	+	65210	2.172828	1.55202	65209	65210	2
362	chrII	65502	65641	+	65633	41.283723	19.555446	65582	65635	54
363	chrII	65878	65999	+	65880	19.245045	7.13929	65880	65935	56
364	chrII	66251	66265	+	66251	1.55202	0.931212	66251	66265	15
365	chrII	66462	66468	+	66467	8.380905	5.58727	66466	66467	2
366	chrII	71531	71595	+	71566	160.789223	42.21493	71549	71570	22
367	chrII	71772	71914	+	71801	11.484947	4.345655	71801	71910	110
368	chrII	72154	72341	+	72154	27.936354	6.208078	72154	72303	150
369	chrII	72534	72546	+	72546	1.862424	0.931212	72534	72546	13
370	chrII	74418	74436	+	74418	4.966464	1.55202	74418	74436	19
371	chrII	75129	75229	+	75196	678.232528	149.304276	75178	75210	33
372	chrII	75536	75591	+	75546	4.035251	1.862423	75543	75571	29
373	chrII	75647	75649	+	75647	5.58727	2.793635	75647	75648	2
374	chrII	76139	76143	+	76141	3.414443	1.862423	76141	76143	3
375	chrII	76458	76642	+	76590	26.694742	4.035251	76477	76640	164
376	chrII	76723	76739	+	76723	6.518483	3.104039	76723	76734	12
377	chrII	76921	76941	+	76941	3.104039	2.483231	76921	76941	21
378	chrII	77283	77313	+	77289	4.65606	1.241616	77284	77313	30
379	chrII	77498	77498	+	77498	1.241616	1.241616	77498	77498	1
380	chrII	77614	77616	+	77616	3.414443	2.793635	77615	77616	2
381	chrII	77923	78041	+	77975	4.035252	0.931212	77927	78024	98
382	chrII	78820	78866	+	78828	8.69131	4.035251	78828	78862	35
383	chrII	79273	79306	+	79277	4.345656	1.55202	79277	79301	25
384	chrII	79489	79528	+	79489	5.276866	1.862423	79489	79528	40
385	chrII	84505	84563	+	84547	3.10404	0.931212	84505	84563	59
386	chrII	88005	88095	+	88049	22.03868	7.449694	88028	88060	33
387	chrII	88164	88229	+	88226	4.035252	1.55202	88179	88226	48
388	chrII	89253	89302	+	89253	1.241616	0.310404	89253	89302	50
389	chrII	89890	89980	+	89943	259.808065	134.404889	89935	89943	9
390	chrII	90047	90206	+	90099	17.693026	4.656059	90086	90189	104
391	chrII	90615	90722	+	90685	464.364243	169.48053	90665	90709	45
392	chrII	90954	91176	+	91104	20.176258	4.035251	90999	91132	134
393	chrII	91208	91288	+	91241	5.587271	1.862423	91208	91287	80
394	chrII	91342	91379	+	91377	3.10404	0.931212	91357	91377	21
395	chrII	91523	91525	+	91523	2.793636	0.931212	91523	91525	3
396	chrII	92296	92505	+	92345	679.784548	122.299137	92345	92396	52
