cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score
95	chrI	52771	52853	+	52851	3.897721	1.559089	52808	52851	44	12.038644869318
96	chrI	54188	54230	+	54188	1.753974	0.389772	54188	54230	43	12.3775058617513
97	chrI	54892	54944	+	54892	1.364202	0.194886	54892	54944	53	16.0803056812724
98	chrI	56531	56566	+	56558	1.364202	0.584658	56531	56566	36	11.002041288542
99	chrI	56612	56693	+	56666	3.313063	0.974431	56630	56693	64	14.8633004710579
100	chrI	56943	57006	+	56968	6.626126	2.143747	56966	57006	41	15.4093222052882
101	chrI	57312	57381	+	57312	2.338633	0.974431	57312	57366	55	13.8984417463423
102	chrI	57424	57532	+	57506	3359.056997	1460.281626	57496	57517	22	11.1118098902397
104	chrI	57704	57724	+	57724	4.092607	1.948861	57716	57724	9	5.46168905236264
105	chrI	58555	58607	+	58598	2.143747	0.974431	58579	58598	20	7.16464286850042
106	chrI	61258	61309	+	61300	1142.227489	390.551765	61274	61300	27	12.6729683253915
107	chrI	61402	61972	+	61972	489.16412	82.826597	61554	61972	419	43.1151346554304
108	chrI	62075	62369	+	62151	45.798229	7.990331	62139	62294	156	27.629114963897
109	chrI	62741	62840	+	62776	341.440464	101.145891	62773	62815	43	13.7887350020172
110	chrI	62882	63281	+	63005	53.2039	8.380103	62936	63122	187	32.7635234396052
111	chrI	63465	63595	+	63487	7.600556	1.948861	63486	63553	68	17.9884941822407
113	chrI	63997	64125	+	64078	10.523847	2.338633	64003	64100	98	21.5353841198563
114	chrI	64187	64363	+	64266	22.022127	5.067039	64265	64361	97	20.7348612155777
115	chrI	64478	64616	+	64577	12.277821	2.923292	64494	64607	114	24.2567860177085
116	chrI	64651	64799	+	64683	14.421568	3.313064	64663	64765	103	22.9243620381838
117	chrI	65017	65073	+	65021	2.338633	0.974431	65017	65061	45	12.2039469058282
120	chrI	68153	68258	+	68195	2.92329	0.584658	68153	68239	87	20.5014836679621
121	chrI	68680	68764	+	68703	29.622688	8.380103	68698	68732	35	14.8404212068722
122	chrI	68905	68947	+	68947	1.559088	0.779544	68905	68947	43	9.49596332072867
123	chrI	69142	69252	+	69167	2.143746	0.389772	69167	69237	71	16.7610162046637
124	chrI	69907	70142	+	70031	21.047695	1.559089	69996	70133	138	33.0838756744131
126	chrI	70204	70368	+	70326	51.644815	15.006231	70245	70360	116	22.7577064963976
128	chrI	70403	70688	+	70688	102.510087	18.709067	70433	70688	256	32.3731662927857
129	chrI	71395	71404	+	71404	1.559089	0.974431	71395	71404	10	4.31450208042754
130	chrI	71438	71510	+	71510	3.313063	1.169317	71438	71510	73	16.4657343098469
131	chrI	71604	71759	+	71759	47829.923666	40854.170231	71756	71759	4	0.865145046059586
133	chrI	71860	72590	+	72588	4289.443262	658.325281	71915	72588	674	54.9035564855411
134	chrI	72620	72842	+	72798	3253.623607	459.736335	72657	72832	176	37.4903504134669
135	chrI	72901	72998	+	72968	147.918553	85.360116	72929	72974	46	12.1346938360312
136	chrI	73407	73517	+	73486	28.063597	5.067039	73418	73486	69	22.4571078792516
137	chrI	73556	73702	+	73662	14.42157	3.50795	73581	73682	102	22.5307190723572
138	chrI	73809	74187	+	73921	220.611067	32.351094	73851	73995	145	30.929457647162
140	chrI	74566	74592	+	74569	1.948861	1.169317	74569	74574	6	2.74336308309825
141	chrI	74656	74750	+	74730	4.092607	1.364203	74687	74736	50	14.9663410946686
142	chrI	76335	76405	+	76401	5147.526835	3031.063677	76392	76405	14	6.95027812204737
143	chrI	76502	76607	+	76605	448.043168	124.142452	76546	76605	60	21.3534356062794
145	chrI	76653	76940	+	76931	1282.740364	593.23332	76676	76931	256	28.6492145519559
147	chrI	77031	77126	+	77123	312.597315	66.65105	77031	77123	93	26.032610434921
148	chrI	77156	77451	+	77432	258.418964	27.868714	77186	77432	247	44.192110016441
149	chrI	77713	77759	+	77724	5.651696	1.559089	77723	77756	34	14.3020338910712
150	chrI	77795	77942	+	77839	5.261922	0.779544	77827	77927	101	23.8920221185311
152	chrI	78103	78138	+	78137	1.364202	0.389772	78103	78138	36	13.0366929704842
154	chrI	78228	78433	+	78351	18.709061	6.821014	78237	78402	166	26.1856260366733
155	chrI	78539	78929	+	78795	48.526631	8.185217	78618	78843	226	38.4678819539626
156	chrI	79059	79126	+	79106	5.651696	1.753975	79082	79121	40	14.040828344504
157	chrI	79673	79714	+	79689	84.775455	31.766436	79674	79695	22	10.7155639591006
159	chrI	79824	80201	+	80018	22.801666	2.143747	79878	80170	293	42.4055720883281
161	chrI	80355	80357	+	80355	1.753975	1.169317	80355	80357	3	1.9406187042431
162	chrI	81583	81599	+	81587	1.169316	0.389772	81583	81599	17	7.84096294022305
163	chrI	82185	82287	+	82261	10.718734	3.118178	82212	82281	70	17.9143596540373
165	chrI	82658	82728	+	82701	582.709468	175.787272	82685	82704	20	12.0473245641229
166	chrI	82815	83014	+	82956	51.8397	17.53975	82873	82957	85	15.4671876151055
167	chrI	83818	83899	+	83860	2.338633	1.364203	83845	83884	40	6.15629636225537
170	chrI	84644	84678	+	84671	1.169316	0.389772	84644	84678	35	11.5492432487403
171	chrI	87205	87273	+	87264	849.313668	433.621596	87253	87264	12	5.64088398873923
172	chrI	87501	87559	+	87501	6.821013	1.948861	87501	87521	21	9.27347686400969
173	chrI	92377	92457	+	92412	16.370431	4.872153	92388	92424	37	14.417702257939
174	chrI	92828	93101	+	92859	166.432729	23.191447	92849	92948	100	26.8488429018672
175	chrI	93331	93363	+	93362	2.338633	1.364203	93331	93362	32	6.54648180830786
176	chrI	93899	93925	+	93902	1.559088	0.779544	93899	93925	27	9.50977500432694
179	chrI	94582	94724	+	94607	283.169516	71.523203	94595	94655	61	20.5661823216631
180	chrI	94903	94960	+	94922	2.92329	0.584658	94910	94960	51	15.312790775558
181	chrI	94991	95181	+	95118	54.762991	8.185217	95057	95173	117	30.2338166249182
183	chrI	99371	99414	+	99414	2.143747	1.364203	99371	99414	44	8.14063742265106
184	chrI	110675	110727	+	110675	1.559088	0.779544	110675	110727	53	11.4558409091264
186	chrI	114765	114858	+	114809	220.221306	91.986244	114806	114832	27	11.4249074433818
187	chrI	115232	115306	+	115233	11.693163	5.261925	115233	115297	65	17.4951924426678
188	chrI	115353	115374	+	115353	4.092608	1.364203	115353	115372	20	9.45122802055345
190	chrI	115473	115759	+	115718	13.836908	4.287494	115542	115739	198	29.9301785620156
191	chrI	115906	116168	+	116101	33.715292	4.872153	115981	116134	154	33.023459958338
192	chrI	116203	116274	+	116255	4.092607	0.974431	116206	116272	67	17.3385694029937
193	chrI	116441	116444	+	116441	2.728405	1.753975	116441	116444	4	2.3962344312605
194	chrI	116886	116983	+	116905	2.728404	0.389772	116892	116967	76	20.315943338438
195	chrI	117018	117098	+	117032	2.338632	0.584658	117028	117088	61	14.0614852160492
197	chrI	117851	117871	+	117870	3.118178	1.753975	117856	117871	16	4.92383806090324
200	chrI	118101	118160	+	118159	2.143746	0.779544	118118	118159	42	9.90348525047436
201	chrI	119840	119891	+	119858	154.154911	49.1113	119850	119890	41	15.6145412390065
202	chrI	120199	120323	+	120279	7.210783	0.974431	120215	120313	99	26.0834043127251
203	chrI	120405	120479	+	120430	1.559088	0.389772	120405	120479	75	17.1292513988637
205	chrI	120756	120794	+	120767	3.507949	1.169317	120756	120789	34	13.5333094917966
206	chrI	120927	120950	+	120927	1.559089	1.364203	120927	120950	24	2.49222155681311
208	chrI	121062	121193	+	121160	7.210784	1.169317	121091	121192	102	25.3442124731223
209	chrI	121777	121810	+	121800	1.364202	0.584658	121777	121810	34	10.8265547793718
210	chrI	121935	121980	+	121956	1.364202	0.389772	121935	121980	46	13.9284382857533
211	chrI	122083	122100	+	122084	1.559088	0.584658	122083	122100	18	8.98885321967673
213	chrI	122403	122408	+	122408	1.169316	0.779544	122403	122408	6	2.37376029559931
215	chrI	122540	122606	+	122568	2.923292	0.974431	122567	122589	23	7.96370697642594
218	chrI	123021	123064	+	123021	1.169316	0.584658	123021	123064	44	9.78592881403306
220	chrI	123315	123342	+	123317	1.753974	0.779544	123315	123342	28	8.82914799549369
222	chrI	123495	123648	+	123532	5.651695	1.364203	123508	123637	130	24.7957247854159
223	chrI	123684	123834	+	123721	2.533518	0.389772	123710	123811	102	19.4432944690285
224	chrI	123867	123896	+	123874	1.364202	0.584658	123867	123896	30	10.4422816416451
225	chrI	124746	124818	+	124782	2658.441435	1099.547435	124782	124801	20	10.8800498387142
226	chrI	124872	125205	+	124872	177.931009	35.469272	124872	125152	281	34.9142247850148
228	chrI	125266	125719	+	125513	34.299947	3.50795	125289	125660	372	43.306179861615
230	chrI	125755	125766	+	125763	30.597119	22.02213	125762	125763	2	0.73029872337964
231	chrI	125869	126021	+	125879	21.43747	5.456811	125878	125998	121	25.6987814705818
233	chrI	126097	126281	+	126237	9.744303	2.338633	126120	126247	128	25.1694025100715
234	chrI	126315	126414	+	126340	8.964758	2.338633	126316	126387	72	20.4827580192413
236	chrI	126972	127030	+	127025	1.169316	0.389772	126972	127030	59	11.2846496548204
237	chrI	127823	127837	+	127837	1.169316	0.584658	127823	127837	15	5.7007312746355
238	chrI	128169	128215	+	128193	3.702834	0.389772	128183	128215	33	17.1113275070515
239	chrI	129194	129724	+	129238	668.654222	67.820366	129223	129525	303	40.9778341024533
241	chrI	129893	129991	+	129923	10.718732	3.897722	129908	129976	69	18.1816730129903
243	chrI	130678	130750	+	130735	3165.340206	1682.841564	130716	130744	29	7.85464679206981
244	chrI	130836	131177	+	131114	190.403714	23.191447	130868	131156	289	43.6622806049422
245	chrI	131209	131756	+	131283	107.577115	7.990331	131232	131664	433	51.1095278441965
247	chrI	132160	132238	+	132195	81.267509	20.657928	132185	132220	36	14.9675121263008
248	chrI	132494	132927	+	132495	43.2647	2.338633	132498	132828	331	51.0869140560772
250	chrI	132966	133094	+	132988	5.067037	1.559089	132988	133094	107	21.1469158160695
252	chrI	133210	133354	+	133272	9.939189	1.559089	133238	133346	109	24.5137628644105
254	chrI	133555	133593	+	133593	2.338632	0.779544	133563	133593	31	10.4933752498712
255	chrI	135776	136066	+	135829	233.473553	34.689728	135812	135869	58	22.1243667647085
257	chrI	136152	136172	+	136158	15.980661	5.261925	136158	136169	12	6.70945914125416
258	chrI	136212	136339	+	136335	22.801673	5.846583	136231	136335	105	22.8844028264644
259	chrI	136481	136565	+	136565	7.600558	2.338633	136517	136565	49	14.4152543509157
260	chrI	136796	136905	+	136874	1522.060521	354.497835	136852	136882	31	15.1725260527924
261	chrI	136976	137350	+	137173	268.35816	51.839705	137061	137274	214	38.3553915063911
262	chrI	137722	137767	+	137725	6.43124	1.364203	137725	137755	31	14.2670889112659
265	chrI	139185	139218	+	139185	1.559088	0.779544	139185	139218	34	8.90305997218809
266	chrI	141673	141731	+	141673	2.923291	0.974431	141673	141721	49	12.1051339468275
268	chrI	141933	142167	+	142153	13878.42458	5247.503411	142138	142153	16	10.029822151863
269	chrI	142254	142503	+	142431	75.031145	7.990331	142256	142431	176	33.7981521689012
270	chrI	142542	142894	+	142669	2172.785236	1130.924099	142669	142840	172	21.4218418302755
272	chrI	142928	143148	+	143111	190.98838	25.724967	142930	143116	187	39.3567112409324
274	chrI	143530	143754	+	143616	206.969042	39.56188	143572	143679	108	26.562953558765
276	chrI	143933	144111	+	144020	7.405669	0.974431	143953	144095	143	28.6612842027147
277	chrI	144151	144169	+	144169	1.169316	0.584658	144151	144169	19	6.19835458292393
278	chrI	144305	144359	+	144305	6.041469	3.50795	144305	144322	18	6.55832498023793
279	chrI	144462	144538	+	144490	3.702835	1.753975	144490	144514	25	7.7040623513479
281	chrI	145009	145021	+	145009	2.533519	1.753975	145009	145021	13	4.21892844967185
282	chrI	145191	145222	+	145192	1.94886	0.779544	145191	145220	30	8.60038211920488
283	chrI	145270	145417	+	145417	3.89772	0.779544	145270	145417	148	24.8469437328745
285	chrI	145612	145687	+	145647	2.338633	0.974431	145612	145686	75	13.8416252677343
286	chrI	146084	146128	+	146123	1.364202	0.389772	146084	146128	45	13.8484799365328
290	chrI	152161	152233	+	152215	399.516523	237.371283	152204	152224	21	7.88577360251196
291	chrI	152475	153139	+	152543	70.353869	4.482381	152542	153079	538	54.1644208298091
294	chrI	153394	153425	+	153424	5.067038	1.169317	153394	153425	32	14.1504300393555
295	chrI	153599	153600	+	153599	1.948861	1.559089	153599	153600	2	0.721927889639224
296	chrI	154896	154992	+	154958	127.06574	36.05393	154920	154964	45	14.2068547785265
297	chrI	155339	155494	+	155387	8.574987	2.533519	155360	155475	116	20.1605635353841
298	chrI	155547	155597	+	155575	1.364202	0.389772	155547	155597	51	14.303818248939
299	chrI	155757	155839	+	155757	3.313063	1.559089	155757	155833	77	15.6669633370972
300	chrI	155877	156233	+	155944	52.619241	10.52385	155936	156122	187	32.8066008354536
301	chrI	156317	156354	+	156335	2.143747	1.364203	156334	156345	12	3.53630155710364
302	chrI	158821	158906	+	158847	124.142449	18.709067	158847	158887	41	17.0731666907187
303	chrI	159079	159107	+	159091	8.96476	7.405672	159090	159091	2	0.28639684813107
304	chrI	159326	159367	+	159339	1.364202	0.584658	159326	159367	42	9.93464920573113
305	chrI	166148	166224	+	166150	2.143746	0.389772	166150	166223	74	18.303622943302
306	chrI	166259	166288	+	166287	1.364202	0.584658	166259	166288	30	10.4422816416451
307	chrI	169198	169336	+	169325	6144.564179	1741.502283	169277	169325	49	14.9401124196387
308	chrI	169426	169567	+	169535	240.879227	83.411255	169427	169535	109	23.7969222589915
309	chrI	169604	169831	+	169742	113.423709	24.55565	169617	169796	180	35.0491954028626
310	chrI	169861	170003	+	169925	167.212279	66.261278	169879	169959	81	19.5553805725838
311	chrI	170884	170933	+	170933	3.118177	0.974431	170886	170933	48	13.7739003402728
312	chrI	171904	171955	+	171921	4.287493	1.364203	171904	171951	48	15.3805313992571
314	chrI	174941	174995	+	174968	2.338633	1.169317	174944	174995	52	9.60988866846887
315	chrI	175261	175425	+	175312	78.149326	12.472711	175295	175382	88	23.0513924207952
316	chrI	175709	175712	+	175709	2.143746	0.779544	175709	175712	4	3.14524732779033
317	chrI	176657	176707	+	176679	2.143746	0.584658	176664	176697	34	12.3085157472679
318	chrI	179283	179331	+	179306	1.169316	0.389772	179283	179331	49	10.7706745033909
319	chrI	179530	179590	+	179560	2.728405	0.974431	179532	179564	33	9.84073268220383
320	chrI	179795	179909	+	179896	9.159645	1.559089	179839	179899	61	20.6331895479721
321	chrI	180240	180342	+	180328	21.827243	5.846583	180249	180328	80	18.6555453397237
322	chrI	181415	181464	+	181446	4.677266	2.923292	181425	181452	28	6.6906825893495
324	chrI	182887	183147	+	183120	910.507898	168.576486	182899	183120	222	35.4617295451234
325	chrI	183222	183380	+	183380	209.307679	138.369138	183224	183380	157	15.1970017335288
326	chrI	183576	183689	+	183688	81.657275	16.565319	183585	183688	104	28.1969020290897
327	chrI	183722	184146	+	183794	173.05885	18.709067	183739	184133	395	46.1525780365822
329	chrI	184803	184892	+	184876	306.945623	84.580572	184832	184876	45	17.9877213353252
330	chrI	184997	185174	+	185108	9.93919	1.169317	185027	185153	127	26.5210153430445
331	chrI	185204	185380	+	185231	30.98689	6.041469	185229	185339	111	26.7761149854624
333	chrI	185874	185964	+	185918	11.498279	5.651697	185902	185918	17	6.11568796890715
334	chrI	186039	186050	+	186040	1.364202	0.779544	186039	186050	12	5.9671621209673
336	chrI	186290	186318	+	186297	1.364202	0.389772	186290	186318	29	9.47409314782434
338	chrI	186897	187011	+	186986	132.912325	32.935753	186951	186997	47	18.757934903145
339	chrI	187116	187255	+	187171	10.913619	2.728406	187157	187242	86	20.6131245441644
340	chrI	187290	187447	+	187395	53.983451	12.472711	187368	187441	74	24.6998446987078
341	chrI	187998	188091	+	188050	222.559937	58.076061	188045	188061	17	10.3547339988066
342	chrI	188274	188290	+	188284	6.626127	4.092608	188284	188285	2	0.881290920138501
343	chrI	188444	188466	+	188465	2.338632	0.779544	188444	188466	23	8.39296502323408
344	chrI	188833	188944	+	188854	28.84314	6.821014	188849	188935	87	21.0119037541641
345	chrI	189296	189315	+	189313	4.482381	2.728406	189300	189313	14	3.35538736235569
347	chrI	190161	190232	+	190163	4.482379	1.559089	190163	190204	42	14.270439154196
348	chrI	190262	190394	+	190331	3.89772	0.779544	190274	190381	108	21.9533843820313
349	chrI	191499	191630	+	191563	10.718734	4.287494	191531	191624	94	17.9681928889194
351	chrI	191873	192011	+	191933	23.581217	4.092608	191924	191983	60	19.3833810618416
352	chrI	192530	192660	+	192567	75.81069	13.447142	192549	192612	64	24.1633424924044
353	chrI	192875	193019	+	192898	4.092607	1.169317	192882	192999	118	21.0435132347192
354	chrI	193063	193110	+	193065	2.533519	1.559089	193063	193095	33	7.15444136732801
355	chrI	193306	193307	+	193306	1.169316	0.584658	193306	193307	2	1
356	chrI	193585	193594	+	193594	1.169316	0.779544	193585	193594	10	3.05051273056363
357	chrI	193689	193772	+	193728	3.702835	1.169317	193700	193765	66	14.925062699308
358	chrI	194081	194296	+	194174	6.431238	0.779544	194134	194251	118	28.6627516940969
359	chrI	194432	194577	+	194486	7.600554	0.779544	194436	194576	141	31.0916900132693
362	chrI	195025	195126	+	195025	3.89772	0.779544	195025	195125	101	22.5856335957878
364	chrI	195549	195658	+	195656	4.872151	2.533519	195592	195656	65	13.1401966590128
365	chrI	195691	195847	+	195813	13.836911	6.626128	195726	195817	92	16.3543084361569
367	chrI	196825	196917	+	196882	2.923291	0.974431	196840	196889	50	14.9762195652783
368	chrI	198472	198543	+	198530	9.549419	2.143747	198472	198538	67	20.3326478909048
369	chrI	198726	198987	+	198745	102.315201	17.149978	198744	198946	203	30.3033005702613
370	chrI	199018	199589	+	199134	167.602036	8.964761	199120	199439	320	46.5897101211552
372	chrI	200567	200687	+	200620	86.724317	14.811344	200618	200647	30	15.4528320456689
373	chrI	200969	200978	+	200974	1.169316	0.584658	200969	200978	10	4.84718446016918
374	chrI	201230	201232	+	201232	1.169317	0.974431	201230	201232	3	1.03026063839363
375	chrI	207245	207284	+	207276	1.169316	0.389772	207245	207284	40	11.9830085251891
376	chrI	207594	207723	+	207624	20.852811	5.067039	207597	207644	48	16.958294126327
377	chrI	207877	207902	+	207887	4.872153	2.923292	207887	207894	8	3.14652370422453
378	chrI	208174	208224	+	208222	5.651695	1.364203	208176	208224	49	19.2284697230801
379	chrI	208698	208832	+	208771	11.498277	1.948861	208739	208822	84	23.4032159781194
380	chrI	208904	208964	+	208960	3.313063	0.974431	208908	208960	53	13.3627475842216
382	chrI	225686	225703	+	225686	1.169316	0.584658	225686	225703	18	7.47451238049515
384	chrI	227496	227544	+	227496	1.364202	0.584658	227496	227544	49	11.9485813645082
386	chrII	5894	5955	+	5955	1.94886	0.779544	5920	5955	36	9.49504118239725
387	chrII	8410	8455	+	8425	4.677265	1.559089	8425	8452	28	11.0428745488362
388	chrII	8492	8584	+	8550	13.447139	3.118178	8513	8556	44	16.5106832446638
389	chrII	8750	8791	+	8783	3.313063	0.974431	8757	8783	27	12.7554058427598
390	chrII	8926	8929	+	8929	1.559089	1.169317	8926	8929	4	1.62255574062043
391	chrII	9331	9332	+	9332	38.392564	38.002792	9332	9332	1	0
393	chrII	10623	10859	+	10754	22.996558	2.923292	10642	10807	166	30.3067387387764
394	chrII	10901	11000	+	10937	3.702835	0.974431	10926	10991	66	16.0433635850788
395	chrII	11143	11145	+	11143	1.753975	1.559089	11143	11145	3	0.797645287581292
396	chrII	13134	13216	+	13205	26.114738	20.657928	13202	13205	4	0.743555436774182
397	chrII	18146	18191	+	18152	1.169316	0.584658	18146	18191	46	9.9008812414372
398	chrII	21465	21503	+	21500	1.753974	0.584658	21465	21503	39	9.99501859775291
399	chrII	23909	23992	+	23980	174.033293	95.68908	23980	23992	13	5.8249382693607
400	chrII	24081	24378	+	24085	49.501065	6.626128	24085	24272	188	34.0533961583078
401	chrII	24424	24610	+	24535	9.159643	1.364203	24476	24574	99	25.5571778392662
403	chrII	28353	28384	+	28361	3.702836	2.923292	28353	28380	28	3.86064934096376
404	chrII	28484	28722	+	28496	38.002784	5.456811	28492	28687	196	33.7575060466351
406	chrII	29035	29112	+	29112	1.559088	0.389772	29035	29112	78	17.2848561018712
407	chrII	29364	29601	+	29576	80.48796	14.616458	29454	29582	129	27.1002796965301
408	chrII	29939	30009	+	29943	8.380102	1.364203	29939	29995	57	18.8222875415275
409	chrII	30391	30534	+	30517	25.530077	5.261925	30409	30527	119	24.8645808947287
410	chrII	30754	30789	+	30757	9.354531	4.872153	30757	30779	23	9.57176349973052
411	chrII	31400	31448	+	31421	1.94886	0.389772	31401	31448	48	15.2217067072777
412	chrII	32003	32043	+	32021	5.45681	1.948861	32019	32026	8	7.05691063056374
413	chrII	32749	32848	+	32783	8.769872	1.753975	32750	32815	66	20.9596067649766
414	chrII	33004	33084	+	33059	2.143746	0.389772	33023	33065	43	15.9950156982194
415	chrII	33140	33208	+	33160	3.507948	0.779544	33140	33206	67	18.1026306079932
416	chrII	33551	33642	+	33563	14.031797	2.533519	33561	33607	47	19.764084759021
417	chrII	33807	33810	+	33810	3.118178	1.559089	33809	33810	2	0.996791636374972
418	chrII	34431	34504	+	34436	7.405669	2.338633	34435	34493	59	18.1926089730962
419	chrII	34538	34612	+	34538	5.846582	1.753975	34538	34602	65	15.6900202318502
