chr	pos	strand	SL01	SL02	SL03	SL04
chrI	11520	+	0	1	0	0
chrI	11553	+	0	0	0	2
chrI	11574	+	0	0	1	0
chrI	11650	+	0	0	0	2
chrI	11652	+	0	1	0	0
chrI	11653	+	0	0	2	0
chrI	11672	+	0	0	1	0
chrI	11698	+	0	0	0	1
chrI	11714	+	0	0	0	1
chrI	11738	+	0	0	0	2
chrI	11907	+	0	0	0	1
chrI	11916	+	0	0	2	1
chrI	11917	+	0	0	1	0
chrI	11919	+	0	0	0	5
chrI	11922	+	0	0	0	1
chrI	11934	+	0	0	1	0
chrI	11995	+	0	0	1	0
chrI	12044	+	0	0	0	1
chrI	12929	+	0	2	1	0
chrI	21094	+	0	1	0	0
chrI	21121	+	0	2	1	1
chrI	21237	+	0	0	1	0
chrI	21240	+	0	0	1	1
chrI	21246	+	1	1	2	4
chrI	21248	+	0	0	0	1
chrI	21280	+	1	0	2	2
chrI	21295	+	0	1	0	0
chrI	21297	+	0	0	1	0
chrI	21299	+	0	0	1	0
chrI	21316	+	0	0	1	0
chrI	21471	+	0	0	0	1
chrI	24633	+	2	0	1	3
chrI	25142	+	1	0	1	0
chrI	31260	+	16	17	5	7
chrI	31891	+	1	5	0	2
chrI	33630	+	1	0	2	0
chrI	34052	+	2	6	4	2
chrI	34241	+	1	0	0	1
chrI	34583	+	3	2	3	3
chrI	35147	+	2	1	8	6
chrI	35534	+	2	3	0	5
chrI	35758	+	1	3	8	6
chrI	36521	+	0	1	0	1
chrI	36854	+	1	0	1	0
chrI	39198	+	3	4	0	6
chrI	40335	+	0	1	2	0
chrI	42161	+	40	38	41	43
chrI	42360	+	1	1	1	2
chrI	43754	+	0	1	0	1
chrI	45799	+	8	5	11	20
chrI	45900	+	1	0	0	1
chrI	46215	+	10	6	51	37
chrI	47405	+	2	0	0	1
chrI	48095	+	0	2	0	6
chrI	48701	+	3	2	2	2
chrI	56531	+	1	1	0	1
chrI	57515	+	3	6	6	18
chrI	61290	+	18	12	35	29
chrI	61499	+	5	10	12	12
chrI	61710	+	2	2	11	5
chrI	62139	+	2	3	4	9
chrI	62842	+	1	8	0	2
chrI	64554	+	1	0	0	2
chrI	70109	+	1	0	4	0
chrI	71665	+	2	0	5	6
chrI	71757	+	65	47	75	60
chrI	71821	+	9	19	14	18
chrI	71893	+	2	2	11	9
chrI	71961	+	3	2	0	4
chrI	72026	+	3	3	5	6
chrI	72142	+	3	4	2	2
chrI	72268	+	0	1	2	2
chrI	72371	+	1	6	10	2
chrI	72470	+	16	14	19	10
chrI	72572	+	13	9	27	16
chrI	72658	+	0	1	0	1
chrI	72737	+	1	5	15	5
chrI	72816	+	48	29	70	43
chrI	72908	+	0	5	11	4
chrI	73662	+	2	3	8	10
chrI	74723	+	0	1	0	1
chrI	76426	+	17	20	19	14
chrI	76546	+	10	13	20	12
chrI	76651	+	0	1	2	1
chrI	76761	+	2	7	3	2
chrI	76876	+	15	27	26	14
chrI	76994	+	2	0	1	3
chrI	77095	+	1	0	0	1
chrI	77228	+	0	1	0	1
chrI	77378	+	1	0	2	0
chrI	77942	+	0	2	1	0
chrI	78828	+	1	0	0	1
chrI	82237	+	3	0	4	4
chrI	82889	+	0	2	2	2
chrI	87298	+	3	6	2	0
chrI	92939	+	5	8	14	12
chrI	94644	+	1	0	2	3
chrI	108768	+	3	0	1	0
chrI	115297	+	1	0	0	1
chrI	117367	+	0	1	0	1
chrI	120220	+	0	3	1	1
chrI	124772	+	6	4	5	11
chrI	124869	+	4	2	4	2
chrI	125515	+	2	0	0	1
chrI	129227	+	3	2	16	7
chrI	129423	+	0	2	1	0
chrI	129921	+	1	1	4	0
chrI	130761	+	1	0	2	0
chrI	131024	+	3	9	14	12
chrI	131298	+	0	2	4	2
chrI	132420	+	3	2	5	5
chrI	133303	+	1	0	1	0
chrI	135922	+	2	1	2	1
chrI	136843	+	1	0	0	1
chrI	136967	+	1	1	0	2
chrI	137232	+	1	0	1	1
chrI	141959	+	0	1	0	3
chrI	142153	+	8076	9410	11718	15249
chrI	142288	+	8	0	8	6
chrI	142721	+	0	1	0	2
chrI	142833	+	0	2	5	4
chrI	143000	+	2	4	10	13
chrI	143586	+	7	3	8	9
chrI	145417	+	2	0	3	1
chrI	152541	+	1	0	1	2
chrI	154953	+	0	1	1	3
chrI	158873	+	0	1	0	1
chrI	169279	+	1	6	11	16
chrI	169368	+	11	12	7	15
chrI	169558	+	1	1	3	1
chrI	169808	+	1	1	5	2
chrI	170933	+	4	2	2	3
chrI	179893	+	4	0	6	0
chrI	183667	+	0	1	0	2
chrI	183925	+	0	1	4	1
chrI	184823	+	2	1	4	0
chrI	185260	+	1	0	0	1
chrI	186994	+	1	0	1	0
chrI	188048	+	16	12	13	9
chrI	190471	+	0	1	0	1
chrI	192590	+	6	5	1	4
chrI	195702	+	3	0	2	0
chrI	198932	+	3	4	0	2
chrI	199291	+	0	2	2	0
chrI	200660	+	0	3	2	1
chrI	227521	+	4	10	1	0
chrI	4819	-	0	2	1	0
chrI	9020	-	0	0	1	0
chrI	9038	-	1	2	1	4
chrI	9043	-	0	0	0	1
chrI	9045	-	1	0	4	5
chrI	9046	-	0	0	2	1
chrI	9047	-	0	0	0	1
chrI	9048	-	0	1	6	6
chrI	9049	-	1	0	1	2
chrI	9050	-	1	0	2	5
chrI	9051	-	0	0	0	1
chrI	9056	-	0	0	2	0
chrI	9057	-	0	1	0	0
chrI	9074	-	0	0	3	2
chrI	9086	-	0	0	0	1
chrI	9123	-	0	0	0	1
chrI	9131	-	0	1	0	0
chrI	9136	-	1	0	0	0
chrI	9179	-	0	0	0	1
chrI	9183	-	1	5	7	1
chrI	9191	-	1	1	0	1
chrI	9199	-	0	0	0	1
chrI	9207	-	0	1	0	0
chrI	9211	-	2	3	0	1
chrI	9221	-	1	0	0	0
chrI	9236	-	0	0	0	1
chrI	9241	-	1	0	0	0
chrI	9242	-	0	0	0	1
chrI	9394	-	0	0	1	0
chrI	9407	-	2	0	0	0
chrI	9415	-	0	1	0	0
chrI	9419	-	0	0	0	1
chrI	9421	-	0	2	0	0
chrI	9426	-	0	0	1	0
chrI	9427	-	0	0	0	2
chrI	9438	-	0	1	0	0
chrI	9441	-	0	0	0	1
chrI	9443	-	0	0	0	2
chrI	9454	-	0	0	0	1
chrI	9459	-	0	2	0	0
chrI	9467	-	0	0	1	0
chrI	9511	-	0	0	0	1
chrI	9650	-	1	1	0	1
chrI	9662	-	0	1	0	0
chrI	9665	-	0	0	0	1
chrI	9771	-	1	0	1	0
chrI	9773	-	0	1	0	0
chrI	19035	-	1	0	3	3
chrI	22738	-	1	0	0	0
chrI	22958	-	0	0	1	0
chrI	22959	-	1	0	0	1
chrI	22960	-	0	0	2	0
chrI	22962	-	0	0	1	0
chrI	23033	-	0	1	0	0
chrI	23036	-	0	0	0	1
chrI	23040	-	1	0	0	1
chrI	23043	-	1	0	1	2
chrI	23044	-	0	0	1	0
chrI	23134	-	0	0	1	0
chrI	23148	-	0	0	1	0
chrI	23178	-	0	0	1	0
chrI	23186	-	0	1	1	1
chrI	23188	-	0	0	0	1
chrI	23189	-	0	0	0	5
chrI	23191	-	0	0	1	0
chrI	23197	-	0	0	1	0
chrI	23211	-	1	0	1	0
chrI	23215	-	1	0	1	0
chrI	23219	-	2	0	1	3
chrI	23223	-	0	0	1	0
chrI	23226	-	0	0	1	0
chrI	23229	-	1	1	5	6
chrI	23230	-	0	0	0	2
chrI	23233	-	4	1	5	9
chrI	23239	-	1	1	1	1
chrI	23242	-	0	1	1	1
chrI	23243	-	0	0	0	1
chrI	23244	-	0	0	1	0
chrI	23247	-	0	0	0	1
chrI	23248	-	0	0	0	2
chrI	23250	-	0	0	1	0
chrI	23257	-	0	0	1	0
chrI	23267	-	0	0	0	1
chrI	23273	-	0	0	1	0
chrI	23278	-	0	0	0	2
chrI	23282	-	0	1	0	2
chrI	23285	-	0	0	1	0
chrI	23604	-	2	3	2	0
chrI	23614	-	1	0	1	2
chrI	23615	-	0	0	0	1
chrI	23624	-	0	0	1	0
chrI	23627	-	0	3	1	4
chrI	23631	-	0	0	0	1
chrI	23633	-	2	1	4	2
chrI	23639	-	6	1	1	4
chrI	23640	-	1	0	0	0
chrI	23644	-	0	0	1	0
chrI	23645	-	1	0	2	0
chrI	23647	-	0	0	1	1
chrI	25076	-	0	1	2	0
chrI	28338	-	1	0	0	0
chrI	28369	-	0	0	1	0
chrI	28378	-	0	0	0	1
chrI	28396	-	0	0	1	0
chrI	28438	-	1	0	0	1
chrI	28445	-	0	0	0	2
chrI	28454	-	0	0	0	1
chrI	28459	-	1	4	0	0
chrI	28468	-	0	0	1	1
chrI	28470	-	2	0	0	0
chrI	28471	-	5	4	2	9
chrI	28479	-	0	0	1	0
chrI	28480	-	1	0	0	0
chrI	28493	-	0	1	0	0
chrI	28496	-	1	0	0	0
chrI	28509	-	0	0	1	0
chrI	28512	-	0	3	0	0
chrI	28530	-	1	0	0	0
chrI	28533	-	0	1	0	1
chrI	28538	-	3	4	1	0
chrI	28561	-	0	1	0	0
chrI	28576	-	0	1	0	0
chrI	28667	-	0	0	0	1
chrI	28803	-	0	0	0	1
chrI	28810	-	0	0	0	1
chrI	28950	-	0	0	0	1
chrI	28961	-	0	0	1	0
chrI	31502	-	12	20	16	22
chrI	32511	-	1	3	2	0
chrI	32968	-	3	3	2	2
chrI	34336	-	0	1	0	1
chrI	34784	-	0	3	2	5
chrI	42964	-	3	3	2	6
chrI	43129	-	10	9	11	7
chrI	43291	-	9	6	19	19
chrI	43402	-	2	1	16	17
chrI	45034	-	1	2	4	3
chrI	45673	-	1	0	7	16
chrI	52576	-	1	0	0	1
chrI	52680	-	0	2	10	18
chrI	54791	-	2	0	0	5
chrI	56886	-	73	67	116	163
chrI	57399	-	2	2	1	1
chrI	58237	-	1	7	5	8
chrI	58380	-	0	1	1	0
chrI	58474	-	30	36	40	75
chrI	59970	-	0	1	1	0
chrI	62512	-	1	1	3	6
chrI	66232	-	2	1	1	0
chrI	67756	-	1	0	2	2
chrI	67850	-	88	109	448	362
chrI	68285	-	2	4	4	9
chrI	69213	-	1	0	1	0
chrI	69552	-	2	0	12	5
chrI	69599	-	7	7	9	8
chrI	70203	-	0	2	1	3
chrI	74229	-	0	1	1	2
chrI	75732	-	0	1	1	1
chrI	76163	-	0	1	1	0
chrI	80321	-	0	1	1	0
chrI	81518	-	0	1	3	1
chrI	81957	-	1	0	1	1
chrI	82536	-	1	0	0	1
chrI	83991	-	1	0	2	1
chrI	84421	-	1	1	4	3
chrI	85571	-	2	0	2	0
chrI	87047	-	0	1	0	1
chrI	88343	-	0	1	0	2
chrI	89494	-	3	0	5	5
chrI	90328	-	0	1	1	0
chrI	92146	-	6	8	13	19
chrI	92288	-	2	5	0	2
chrI	92466	-	1	2	2	1
chrI	92532	-	39	35	75	130
chrI	95803	-	5	3	1	5
chrI	96443	-	0	1	1	0
chrI	98596	-	1	1	0	2
chrI	99649	-	1	1	3	6
chrI	99797	-	2	9	14	19
chrI	100562	-	0	1	1	1
chrI	100760	-	9	12	38	46
chrI	101028	-	0	1	0	1
chrI	101218	-	3	3	6	6
chrI	105562	-	1	0	0	1
chrI	106997	-	1	1	3	2
chrI	107528	-	1	0	3	2
chrI	107772	-	2	1	6	10
chrI	108626	-	6	10	16	24
chrI	109252	-	1	0	0	1
chrI	110403	-	0	1	1	1
chrI	111290	-	1	0	0	2
chrI	113272	-	2	0	0	1
chrI	113419	-	6	2	1	4
chrI	114578	-	0	2	2	0
chrI	114668	-	0	1	0	1
chrI	127174	-	0	1	0	1
chrI	127656	-	1	0	1	4
chrI	127998	-	1	0	1	1
chrI	128788	-	1	0	2	1
chrI	129046	-	18	25	30	25
chrI	130473	-	0	1	3	2
chrI	135686	-	84	87	122	139
chrI	137399	-	1	0	2	0
chrI	138052	-	1	0	1	0
chrI	138280	-	2	0	1	4
chrI	138421	-	9	10	19	19
chrI	139032	-	4	3	19	17
chrI	140220	-	3	0	4	4
chrI	140522	-	2	2	3	2
chrI	141191	-	3	7	31	19
chrI	141266	-	0	1	0	1
chrI	141327	-	2	0	1	0
chrI	141396	-	0	1	0	1
chrI	141448	-	0	2	1	4
chrI	141488	-	283	297	789	651
chrI	141550	-	1	0	0	1
chrI	141646	-	1	0	1	0
chrI	143751	-	3	4	2	0
chrI	148922	-	0	1	1	1
chrI	149552	-	1	1	1	0
chrI	150548	-	0	2	2	2
chrI	150930	-	1	0	0	1
chrI	151197	-	153	118	102	104
chrI	154356	-	0	1	2	0
chrI	154527	-	5	3	10	10
chrI	154736	-	2	2	3	5
chrI	154796	-	5	16	12	7
chrI	157968	-	2	2	1	3
chrI	158595	-	4	2	3	2
chrI	161352	-	0	1	1	1
chrI	167539	-	1	0	0	1
chrI	168076	-	1	0	0	1
chrI	168621	-	6	1	16	24
chrI	168938	-	8	8	10	10
chrI	169029	-	12	14	52	45
chrI	171699	-	7	11	3	6
chrI	174737	-	2	1	1	3
chrI	179607	-	1	1	2	3
chrI	180108	-	13	7	14	13
chrI	181891	-	1	0	1	2
chrI	187253	-	3	0	1	0
chrI	190022	-	0	2	2	0
chrI	191404	-	2	1	1	1
chrI	198319	-	8	3	1	0
chrI	200418	-	1	1	0	1
chrI	207088	-	1	1	0	2
chrI	207730	-	0	3	1	3
chrI	227276	-	0	2	2	4
